site	time	r_tilde	r_tilde_small_t_tilde_large_t
8	0.140002	0.988288	0.945377	1.083944
9	0.140002	1.384662	1.284258	1.338008
10	0.140002	1.068188	1.187192	1.035285
1	0.160002	1.422498	1.397825	1.381826
2	0.160002	0.665615	0.726513	0.742160
3	0.160002	1.603517	1.342058	1.571724
4	0.160002	1.045236	1.199210	1.018864
5	0.160002	0.119041	0.254616	0.126918
6	0.160002	1.374790	1.305336	1.340917
7	0.160002	0.324358	0.357614	0.360354
8	0.160002	1.010232	0.945377	1.083944
9	0.160002	1.373880	1.284258	1.338008
10	0.160002	1.060832	1.187192	1.035285
1	0.180002	1.411655	1.397825	1.381826
2	0.180002	0.682553	0.726513	0.742160
3	0.180002	1.598599	1.342058	1.571724
4	0.180002	1.039055	1.199210	1.018864
5	0.180002	0.120447	0.254616	0.126918
6	0.180002	1.367294	1.305336	1.340917
7	0.180002	0.332203	0.357614	0.360354
8	0.180002	1.027757	0.945377	1.083944
9	0.180002	1.365343	1.284258	1.338008
10	0.180002	1.055094	1.187192	1.035285
1	0.200002	1.403978	1.397825	1.381826
2	0.200002	0.696100	0.726513	0.742160
3	0.200002	1.593492	1.342058	1.571724
4	0.200002	1.034317	1.199210	1.018864
5	0.200002	0.121667	0.254616	0.126918
6	0.200002	1.361244	1.305336	1.340917
7	0.200002	0.338439	0.357614	0.360354
8	0.200002	1.041391	0.945377	1.083944
9	0.200002	1.358779	1.284258	1.338008
10	0.200002	1.050593	1.187192	1.035285
1	0.220002	1.398427	1.397825	1.381826
2	0.220002	0.706732	0.726513	0.742160
3	0.220002	1.588942	1.342058	1.571724
4	0.220002	1.030680	1.199210	1.018864
5	0.220002	0.122684	0.254616	0.126918
6	0.220002	1.356497	1.305336	1.340917
7	0.220002	0.343327	0.357614	0.360354
8	0.220002	1.051850	0.945377	1.083944
9	0.220002	1.353786	1.284258	1.338008
10	0.220002	1.047076	1.187192	1.035285
1	0.240002	1.394346	1.397825	1.381826
2	0.240002	0.714983	0.726513	0.742160
3	0.240002	1.585155	1.342058	1.571724
4	0.240002	1.027892	1.199210	1.018864
5	0.240002	0.123517	0.254616	0.126918
6	0.240002	1.352827	1.305336	1.340917
7	0.240002	0.347130	0.357614	0.360354
8	0.240002	1.059807	0.945377	1.083944
9	0.240002	1.350001	1.284258	1.338008
10	0.240002	1.044342	1.187192	1.035285
1	0.260002	1.391308	1.397825	1.381826
2	0.260002	0.721344	0.726513	0.742160
3	0.260002	1.582115	1.342058	1.571724
4	0.260002	1.025758	1.199210	1.018864
5	0.260002	0.124192	0.254616	0.126918
6	0.260002	1.350011	1.305336	1.340917
7	0.260002	0.350079	0.357614	0.360354
8	0.260002	1.065831	0.945377	1.083944
9	0.260002	1.347133	1.284258	1.338008
10	0.260002	1.042228	1.187192	1.035285
1	0.280002	1.389028	1.397825	1.381826
2	0.280002	0.726229	0.726513	0.742160
3	0.280002	1.579724	1.342058	1.571724
4	0.280002	1.024128	1.199210	1.018864
5	0.280002	0.124737	0.254616	0.126918
6	0.280002	1.347857	1.305336	1.340917
7	0.280002	0.352363	0.357614	0.360354
8	0.280002	1.070375	0.945377	1.083944
9	0.280002	1.344957	1.284258	1.338008
10	0.280002	1.040601	1.187192	1.035285
1	0.300002	1.387308	1.397825	1.381826
2	0.300002	0.729972	0.726513	0.742160
3	0.300002	1.577865	1.342058	1.571724
4	0.300002	1.022883	1.199210	1.018864
5	0.300002	0.125175	0.254616	0.126918
6	0.300002	1.346214	1.305336	1.340917
7	0.300002	0.354133	0.357614	0.360354
8	0.300002	1.073793	0.945377	1.083944
9	0.300002	1.343305	1.284258	1.338008
10	0.300002	1.039352	1.187192	1.035285
1	0.320002	1.386004	1.397825	1.381826
2	0.320002	0.732835	0.726513	0.742160
3	0.320002	1.576430	1.342058	1.571724
4	0.320002	1.021934	1.199210	1.018864
5	0.320002	0.125525	0.254616	0.126918
6	0.320002	1.344962	1.305336	1.340917
7	0.320002	0.355506	0.357614	0.360354
8	0.320002	1.076359	0.945377	1.083944
9	0.320002	1.342049	1.284258	1.338008
10	0.320002	1.038396	1.187192	1.035285
1	0.340002	1.385014	1.397825	1.381826
2	0.340002	0.735026	0.726513	0.742160
3	0.340002	1.575328	1.342058	1.571724
4	0.340002	1.021209	1.199210	1.018864
5	0.340002	0.125806	0.254616	0.126918
6	0.340002	1.344006	1.305336	1.340917
7	0.340002	0.356571	0.357614	0.360354
8	0.340002	1.078283	0.945377	1.083944
9	0.340002	1.341093	1.284258	1.338008
10	0.340002	1.037664	1.187192	1.035285
1	0.360002	1.384261	1.397825	1.381826
2	0.360002	0.736700	0.726513	0.742160
3	0.360002	1.574482	1.342058	1.571724
4	0.360002	1.020657	1.199210	1.018864
5	0.360002	0.126031	0.254616	0.126918
6	0.360002	1.343278	1.305336	1.340917
7	0.360002	0.357399	0.357614	0.360354
8	0.360002	1.079723	0.945377	1.083944
9	0.360002	1.340365	1.284258	1.338008
10	0.360002	1.037104	1.187192	1.035285
1	0.380002	1.383687	1.397825	1.381826
2	0.380002	0.737980	0.726513	0.742160
3	0.380002	1.573835	1.342058	1.571724
4	0.380002	1.020235	1.199210	1.018864
5	0.380002	0.126211	0.254616	0.126918
6	0.380002	1.342722	1.305336	1.340917
7	0.380002	0.358043	0.357614	0.360354
8	0.380002	1.080799	0.945377	1.083944
9	0.380002	1.339810	1.284258	1.338008
10	0.380002	1.036677	1.187192	1.035285
1	0.400002	1.383249	1.397825	1.381826
2	0.400002	0.738960	0.726513	0.742160
3	0.400002	1.573340	1.342058	1.571724
4	0.400002	1.019913	1.199210	1.018864
5	0.400002	0.126355	0.254616	0.126918
6	0.400002	1.342298	1.305336	1.340917
7	0.400002	0.358545	0.357614	0.360354
8	0.400002	1.081603	0.945377	1.083944
9	0.400002	1.339386	1.284258	1.338008
10	0.400002	1.036350	1.187192	1.035285
1	0.420002	1.382916	1.397825	1.381826
2	0.420002	0.739709	0.726513	0.742160
3	0.420002	1.572962	1.342058	1.571724
4	0.420002	1.019667	1.199210	1.018864
5	0.420002	0.126469	0.254616	0.126918
6	0.420002	1.341975	1.305336	1.340917
7	0.420002	0.358937	0.357614	0.360354
8	0.420002	1.082203	0.945377	1.083944
9	0.420002	1.339063	1.284258	1.338008
10	0.420002	1.036101	1.187192	1.035285
1	0.440002	1.382660	1.397825	1.381826
2	0.440002	0.740282	0.726513	0.742160
3	0.440002	1.572672	1.342058	1.571724
4	0.440002	1.019479	1.199210	1.018864
5	0.440002	0.126561	0.254616	0.126918
6	0.440002	1.341727	1.305336	1.340917
7	0.440002	0.359243	0.357614	0.360354
8	0.440002	1.082650	0.945377	1.083944
9	0.440002	1.338816	1.284258	1.338008
10	0.440002	1.035910	1.187192	1.035285
1	0.460002	1.382465	1.397825	1.381826
2	0.460002	0.740721	0.726513	0.742160
3	0.460002	1.572451	1.342058	1.571724
4	0.460002	1.019335	1.199210	1.018864
5	0.460002	0.126634	0.254616	0.126918
6	0.460002	1.341538	1.305336	1.340917
7	0.460002	0.359482	0.357614	0.360354
8	0.460002	1.082983	0.945377	1.083944
9	0.460002	1.338627	1.284258	1.338008
10	0.460002	1.035764	1.187192	1.035285
1	0.480002	1.382316	1.397825	1.381826
2	0.480002	0.741057	0.726513	0.742160
3	0.480002	1.572281	1.342058	1.571724
4	0.480002	1.019225	1.199210	1.018864
5	0.480002	0.126692	0.254616	0.126918
6	0.480002	1.341393	1.305336	1.340917
7	0.480002	0.359669	0.357614	0.360354
8	0.480002	1.083231	0.945377	1.083944
9	0.480002	1.338483	1.284258	1.338008
10	0.480002	1.035653	1.187192	1.035285
1	0.500002	1.382202	1.397825	1.381826
2	0.500002	0.741315	0.726513	0.742160
3	0.500002	1.572152	1.342058	1.571724
4	0.500002	1.019141	1.199210	1.018864
5	0.500002	0.126738	0.254616	0.126918
6	0.500002	1.341283	1.305336	1.340917
7	0.500002	0.359815	0.357614	0.360354
8	0.500002	1.083415	0.945377	1.083944
9	0.500002	1.338372	1.284258	1.338008
10	0.500002	1.035567	1.187192	1.035285
1	0.520002	1.382115	1.397825	1.381826
2	0.520002	0.741512	0.726513	0.742160
3	0.520002	1.572052	1.342058	1.571724
4	0.520002	1.019077	1.199210	1.018864
5	0.520002	0.126775	0.254616	0.126918
6	0.520002	1.341198	1.305336	1.340917
7	0.520002	0.359930	0.357614	0.360354
8	0.520002	1.083552	0.945377	1.083944
9	0.520002	1.338288	1.284258	1.338008
10	0.520002	1.035502	1.187192	1.035285
1	0.540002	1.382048	1.397825	1.381826
2	0.540002	0.741663	0.726513	0.742160
3	0.540002	1.571976	1.342058	1.571724
4	0.540002	1.019027	1.199210	1.018864
5	0.540002	0.126804	0.254616	0.126918
6	0.540002	1.341133	1.305336	1.340917
7	0.540002	0.360020	0.357614	0.360354
8	0.540002	1.083654	0.945377	1.083944
9	0.540002	1.338223	1.284258	1.338008
10	0.540002	1.035451	1.187192	1.035285
1	0.560002	1.381997	1.397825	1.381826
2	0.560002	0.741779	0.726513	0.742160
3	0.560002	1.571918	1.342058	1.571724
4	0.560002	1.018989	1.199210	1.018864
5	0.560002	0.126828	0.254616	0.126918
6	0.560002	1.341083	1.305336	1.340917
7	0.560002	0.360091	0.357614	0.360354
8	0.560002	1.083729	0.945377	1.083944
9	0.560002	1.338173	1.284258	1.338008
10	0.560002	1.035413	1.187192	1.035285
1	0.580002	1.381957	1.397825	1.381826
2	0.580002	0.741868	0.726513	0.742160
3	0.580002	1.571873	1.342058	1.571724
4	0.580002	1.018960	1.199210	1.018864
5	0.580002	0.126846	0.254616	0.126918
6	0.580002	1.341045	1.305336	1.340917
7	0.580002	0.360147	0.357614	0.360354
8	0.580002	1.083785	0.945377	1.083944
9	0.580002	1.338135	1.284258	1.338008
10	0.580002	1.035383	1.187192	1.035285
1	0.600002	1.381927	1.397825	1.381826
2	0.600002	0.741936	0.726513	0.742160
3	0.600002	1.571839	1.342058	1.571724
4	0.600002	1.018938	1.199210	1.018864
5	0.600002	0.126861	0.254616	0.126918
6	0.600002	1.341015	1.305336	1.340917
7	0.600002	0.360191	0.357614	0.360354
8	0.600002	1.083827	0.945377	1.083944
9	0.600002	1.338106	1.284258	1.338008
10	0.600002	1.035361	1.187192	1.035285
1	0.620002	1.381904	1.397825	1.381826
2	0.620002	0.741988	0.726513	0.742160
3	0.620002	1.571812	1.342058	1.571724
4	0.620002	1.018921	1.199210	1.018864
5	0.620002	0.126873	0.254616	0.126918
6	0.620002	1.340993	1.305336	1.340917
7	0.620002	0.360225	0.357614	0.360354
8	0.620002	1.083858	0.945377	1.083944
9	0.620002	1.338083	1.284258	1.338008
10	0.620002	1.035343	1.187192	1.035285
1	0.640002	1.381886	1.397825	1.381826
2	0.640002	0.742028	0.726513	0.742160
3	0.640002	1.571792	1.342058	1.571724
4	0.640002	1.018908	1.199210	1.018864
5	0.640002	0.126882	0.254616	0.126918
6	0.640002	1.340976	1.305336	1.340917
7	0.640002	0.360252	0.357614	0.360354
8	0.640002	1.083880	0.945377	1.083944
9	0.640002	1.338066	1.284258	1.338008
10	0.640002	1.035330	1.187192	1.035285
1	0.660002	1.381872	1.397825	1.381826
2	0.660002	0.742059	0.726513	0.742160
3	0.660002	1.571776	1.342058	1.571724
4	0.660002	1.018898	1.199210	1.018864
5	0.660002	0.126890	0.254616	0.126918
6	0.660002	1.340962	1.305336	1.340917
7	0.660002	0.360274	0.357614	0.360354
8	0.660002	1.083897	0.945377	1.083944
9	0.660002	1.338053	1.284258	1.338008
10	0.660002	1.035320	1.187192	1.035285
1	0.680002	1.381862	1.397825	1.381826
2	0.680002	0.742083	0.726513	0.742160
3	0.680002	1.571764	1.342058	1.571724
4	0.680002	1.018890	1.199210	1.018864
5	0.680002	0.126895	0.254616	0.126918
6	0.680002	1.340952	1.305336	1.340917
7	0.680002	0.360291	0.357614	0.360354
8	0.680002	1.083909	0.945377	1.083944
9	0.680002	1.338042	1.284258	1.338008
10	0.680002	1.035312	1.187192	1.035285
1	0.700002	1.381853	1.397825	1.381826
2	0.700002	0.742101	0.726513	0.742160
3	0.700002	1.571755	1.342058	1.571724
4	0.700002	1.018884	1.199210	1.018864
5	0.700002	0.126900	0.254616	0.126918
6	0.700002	1.340944	1.305336	1.340917
7	0.700002	0.360304	0.357614	0.360354
8	0.700002	1.083919	0.945377	1.083944
9	0.700002	1.338034	1.284258	1.338008
10	0.700002	1.035306	1.187192	1.035285
1	0.720002	1.381847	1.397825	1.381826
2	0.720002	0.742115	0.726513	0.742160
3	0.720002	1.571748	1.342058	1.571724
4	0.720002	1.018879	1.199210	1.018864
5	0.720002	0.126904	0.254616	0.126918
6	0.720002	1.340938	1.305336	1.340917
7	0.720002	0.360314	0.357614	0.360354
8	0.720002	1.083925	0.945377	1.083944
9	0.720002	1.338028	1.284258	1.338008
10	0.720002	1.035301	1.187192	1.035285
1	0.740002	1.381842	1.397825	1.381826
2	0.740002	0.742125	0.726513	0.742160
3	0.740002	1.571743	1.342058	1.571724
4	0.740002	1.018876	1.199210	1.018864
5	0.740002	0.126907	0.254616	0.126918
6	0.740002	1.340933	1.305336	1.340917
7	0.740002	0.360323	0.357614	0.360354
8	0.740002	1.083930	0.945377	1.083944
9	0.740002	1.338024	1.284258	1.338008
10	0.740002	1.035297	1.187192	1.035285
1	0.760002	1.381839	1.397825	1.381826
2	0.760002	0.742133	0.726513	0.742160
3	0.760002	1.571738	1.342058	1.571724
4	0.760002	1.018873	1.199210	1.018864
5	0.760002	0.126909	0.254616	0.126918
6	0.760002	1.340930	1.305336	1.340917
7	0.760002	0.360329	0.357614	0.360354
8	0.760002	1.083934	0.945377	1.083944
9	0.760002	1.338020	1.284258	1.338008
10	0.760002	1.035295	1.187192	1.035285
1	0.780002	1.381836	1.397825	1.381826
2	0.780002	0.742140	0.726513	0.742160
3	0.780002	1.571735	1.342058	1.571724
4	0.780002	1.018871	1.199210	1.018864
5	0.780002	0.126911	0.254616	0.126918
6	0.780002	1.340927	1.305336	1.340917
7	0.780002	0.360334	0.357614	0.360354
8	0.780002	1.083937	0.945377	1.083944
9	0.780002	1.338017	1.284258	1.338008
10	0.780002	1.035293	1.187192	1.035285
1	0.800002	1.381834	1.397825	1.381826
2	0.800002	0.742144	0.726513	0.742160
3	0.800002	1.571733	1.342058	1.571724
4	0.800002	1.018869	1.199210	1.018864
5	0.800002	0.126912	0.254616	0.126918
6	0.800002	1.340925	1.305336	1.340917
7	0.800002	0.360338	0.357614	0.360354
8	0.800002	1.083939	0.945377	1.083944
9	0.800002	1.338015	1.284258	1.338008
10	0.800002	1.035291	1.187192	1.035285
1	0.820002	1.381832	1.397825	1.381826
2	0.820002	0.742148	0.726513	0.742160
3	0.820002	1.571731	1.342058	1.571724
4	0.820002	1.018868	1.199210	1.018864
5	0.820002	0.126914	0.254616	0.126918
6	0.820002	1.340923	1.305336	1.340917
7	0.820002	0.360342	0.357614	0.360354
8	0.820002	1.083940	0.945377	1.083944
9	0.820002	1.338014	1.284258	1.338008
10	0.820002	1.035290	1.187192	1.035285
1	0.840002	1.381831	1.397825	1.381826
2	0.840002	0.742151	0.726513	0.742160
3	0.840002	1.571729	1.342058	1.571724
4	0.840002	1.018867	1.199210	1.018864
5	0.840002	0.126915	0.254616	0.126918
6	0.840002	1.340922	1.305336	1.340917
7	0.840002	0.360344	0.357614	0.360354
8	0.840002	1.083941	0.945377	1.083944
9	0.840002	1.338012	1.284258	1.338008
10	0.840002	1.035289	1.187192	1.035285
1	0.860002	1.381830	1.397825	1.381826
2	0.860002	0.742153	0.726513	0.742160
3	0.860002	1.571728	1.342058	1.571724
4	0.860002	1.018866	1.199210	1.018864
5	0.860002	0.126915	0.254616	0.126918
6	0.860002	1.340921	1.305336	1.340917
7	0.860002	0.360346	0.357614	0.360354
8	0.860002	1.083942	0.945377	1.083944
9	0.860002	1.338011	1.284258	1.338008
10	0.860002	1.035288	1.187192	1.035285
1	0.880002	1.381829	1.397825	1.381826
2	0.880002	0.742155	0.726513	0.742160
3	0.880002	1.571727	1.342058	1.571724
4	0.880002	1.018866	1.199210	1.018864
5	0.880002	0.126916	0.254616	0.126918
6	0.880002	1.340920	1.305336	1.340917
7	0.880002	0.360348	0.357614	0.360354
8	0.880002	1.083942	0.945377	1.083944
9	0.880002	1.338011	1.284258	1.338008
10	0.880002	1.035287	1.187192	1.035285
1	0.900002	1.381828	1.397825	1.381826
2	0.900002	0.742156	0.726513	0.742160
3	0.900002	1.571726	1.342058	1.571724
4	0.900002	1.018865	1.199210	1.018864
5	0.900002	0.126916	0.254616	0.126918
6	0.900002	1.340920	1.305336	1.340917
7	0.900002	0.360349	0.357614	0.360354
8	0.900002	1.083943	0.945377	1.083944
9	0.900002	1.338010	1.284258	1.338008
10	0.900002	1.035287	1.187192	1.035285
1	0.920002	1.381828	1.397825	1.381826
2	0.920002	0.742157	0.726513	0.742160
3	0.920002	1.571726	1.342058	1.571724
4	0.920002	1.018865	1.199210	1.018864
5	0.920002	0.126917	0.254616	0.126918
6	0.920002	1.340919	1.305336	1.340917
7	0.920002	0.360350	0.357614	0.360354
8	0.920002	1.083943	0.945377	1.083944
9	0.920002	1.338010	1.284258	1.338008
10	0.920002	1.035286	1.187192	1.035285
1	0.940002	1.381827	1.397825	1.381826
2	0.940002	0.742158	0.726513	0.742160
3	0.940002	1.571725	1.342058	1.571724
4	0.940002	1.018865	1.199210	1.018864
5	0.940002	0.126917	0.254616	0.126918
6	0.940002	1.340919	1.305336	1.340917
7	0.940002	0.360351	0.357614	0.360354
8	0.940002	1.083943	0.945377	1.083944
9	0.940002	1.338009	1.284258	1.338008
10	0.940002	1.035286	1.187192	1.035285
1	0.960002	1.381827	1.397825	1.381826
2	0.960002	0.742158	0.726513	0.742160
3	0.960002	1.571725	1.342058	1.571724
4	0.960002	1.018864	1.199210	1.018864
5	0.960002	0.126917	0.254616	0.126918
6	0.960002	1.340918	1.305336	1.340917
7	0.960002	0.360351	0.357614	0.360354
8	0.960002	1.083943	0.945377	1.083944
9	0.960002	1.338009	1.284258	1.338008
10	0.960002	1.035286	1.187192	1.035285
1	0.980002	1.381827	1.397825	1.381826
2	0.980002	0.742159	0.726513	0.742160
3	0.980002	1.571725	1.342058	1.571724
4	0.980002	1.018864	1.199210	1.018864
5	0.980002	0.126917	0.254616	0.126918
6	0.980002	1.340918	1.305336	1.340917
7	0.980002	0.360352	0.357614	0.360354
8	0.980002	1.083943	0.945377	1.083944
9	0.980002	1.338009	1.284258	1.338008
10	0.980002	1.035286	1.187192	1.035285
1	1.000002	1.381827	1.397825	1.381826
2	1.000002	0.742159	0.726513	0.742160
3	1.000002	1.571725	1.342058	1.571724
4	1.000002	1.018864	1.199210	1.018864
5	1.000002	0.126918	0.254616	0.126918
6	1.000002	1.340918	1.305336	1.340917
7	1.000002	0.360352	0.357614	0.360354
8	1.000002	1.083944	0.945377	1.083944
9	1.000002	1.338009	1.284258	1.338008
10	1.000002	1.035286	1.187192	1.035285
1	1.020002	1.381826	1.397825	1.381826
2	1.020002	0.742159	0.726513	0.742160
3	1.020002	1.571724	1.342058	1.571724
4	1.020002	1.018864	1.199210	1.018864
5	1.020002	0.126918	0.254616	0.126918
6	1.020002	1.340918	1.305336	1.340917
7	1.020002	0.360353	0.357614	0.360354
8	1.020002	1.083944	0.945377	1.083944
9	1.020002	1.338008	1.284258	1.338008
10	1.020002	1.035286	1.187192	1.035285
1	1.040002	1.381826	1.397825	1.381826
2	1.040002	0.742160	0.726513	0.742160
3	1.040002	1.571724	1.342058	1.571724
4	1.040002	1.018864	1.199210	1.018864
5	1.040002	0.126918	0.254616	0.126918
6	1.040002	1.340918	1.305336	1.340917
7	1.040002	0.360353	0.357614	0.360354
8	1.040002	1.083944	0.945377	1.083944
9	1.040002	1.338008	1.284258	1.338008
10	1.040002	1.035286	1.187192	1.035285
1	1.060002	1.381826	1.397825	1.381826
2	1.060002	0.742160	0.726513	0.742160
3	1.060002	1.571724	1.342058	1.571724
4	1.060002	1.018864	1.199210	1.018864
5	1.060002	0.126918	0.254616	0.126918
6	1.060002	1.340918	1.305336	1.340917
7	1.060002	0.360353	0.357614	0.360354
8	1.060002	1.083944	0.945377	1.083944
9	1.060002	1.338008	1.284258	1.338008
10	1.060002	1.035285	1.187192	1.035285
1	1.080002	1.381826	1.397825	1.381826
2	1.080002	0.742160	0.726513	0.742160
3	1.080002	1.571724	1.342058	1.571724
4	1.080002	1.018864	1.199210	1.018864
5	1.080002	0.126918	0.254616	0.126918
6	1.080002	1.340918	1.305336	1.340917
7	1.080002	0.360353	0.357614	0.360354
8	1.080002	1.083944	0.945377	1.083944
9	1.080002	1.338008	1.284258	1.338008
10	1.080002	1.035285	1.187192	1.035285
1	1.100002	1.381826	1.397825	1.381826
2	1.100002	0.742160	0.726513	0.742160
3	1.100002	1.571724	1.342058	1.571724
4	1.100002	1.018864	1.199210	1.018864
5	1.100002	0.126918	0.254616	0.126918
6	1.100002	1.340918	1.305336	1.340917
7	1.100002	0.360353	0.357614	0.360354
8	1.100002	1.083944	0.945377	1.083944
9	1.100002	1.338008	1.284258	1.338008
10	1.100002	1.035285	1.187192	1.035285
1	1.120002	1.381826	1.397825	1.381826
2	1.120002	0.742160	0.726513	0.742160
3	1.120002	1.571724	1.342058	1.571724
4	1.120002	1.018864	1.199210	1.018864
5	1.120002	0.126918	0.254616	0.126918
6	1.120002	1.340918	1.305336	1.340917
7	1.120002	0.360353	0.357614	0.360354
8	1.120002	1.083944	0.945377	1.083944
9	1.120002	1.338008	1.284258	1.338008
10	1.120002	1.035285	1.187192	1.035285
1	1.140002	1.381826	1.397825	1.381826
2	1.140002	0.742160	0.726513	0.742160
3	1.140002	1.571724	1.342058	1.571724
4	1.140002	1.018864	1.199210	1.018864
5	1.140002	0.126918	0.254616	0.126918
6	1.140002	1.340918	1.305336	1.340917
7	1.140002	0.360353	0.357614	0.360354
8	1.140002	1.083944	0.945377	1.083944
9	1.140002	1.338008	1.284258	1.338008
10	1.140002	1.035285	1.187192	1.035285
1	1.160002	1.381826	1.397825	1.381826
2	1.160002	0.742160	0.726513	0.742160
3	1.160002	1.571724	1.342058	1.571724
4	1.160002	1.018864	1.199210	1.018864
5	1.160002	0.126918	0.254616	0.126918
6	1.160002	1.340918	1.305336	1.340917
7	1.160002	0.360353	0.357614	0.360354
8	1.160002	1.083944	0.945377	1.083944
9	1.160002	1.338008	1.284258	1.338008
10	1.160002	1.035285	1.187192	1.035285
1	1.180002	1.381826	1.397825	1.381826
2	1.180002	0.742160	0.726513	0.742160
3	1.180002	1.571724	1.342058	1.571724
4	1.180002	1.018864	1.199210	1.018864
5	1.180002	0.126918	0.254616	0.126918
6	1.180002	1.340918	1.305336	1.340917
7	1.180002	0.360354	0.357614	0.360354
8	1.180002	1.083944	0.945377	1.083944
9	1.180002	1.338008	1.284258	1.338008
10	1.180002	1.035285	1.187192	1.035285
1	1.200002	1.381826	1.397825	1.381826
2	1.200002	0.742160	0.726513	0.742160
3	1.200002	1.571724	1.342058	1.571724
4	1.200002	1.018864	1.199210	1.018864
5	1.200002	0.126918	0.254616	0.126918
6	1.200002	1.340918	1.305336	1.340917
7	1.200002	0.360354	0.357614	0.360354
8	1.200002	1.083944	0.945377	1.083944
9	1.200002	1.338008	1.284258	1.338008
10	1.200002	1.035285	1.187192	1.035285
1	1.220002	1.381826	1.397825	1.381826
2	1.220002	0.742160	0.726513	0.742160
3	1.220002	1.571724	1.342058	1.571724
4	1.220002	1.018864	1.199210	1.018864
5	1.220002	0.126918	0.254616	0.126918
6	1.220002	1.340918	1.305336	1.340917
7	1.220002	0.360354	0.357614	0.360354
8	1.220002	1.083944	0.945377	1.083944
9	1.220002	1.338008	1.284258	1.338008
10	1.220002	1.035285	1.187192	1.035285
1	1.240002	1.381826	1.397825	1.381826
2	1.240002	0.742160	0.726513	0.742160
3	1.240002	1.571724	1.342058	1.571724
4	1.240002	1.018864	1.199210	1.018864
5	1.240002	0.126918	0.254616	0.126918
6	1.240002	1.340918	1.305336	1.340917
7	1.240002	0.360354	0.357614	0.360354
8	1.240002	1.083944	0.945377	1.083944
9	1.240002	1.338008	1.284258	1.338008
10	1.240002	1.035285	1.187192	1.035285
1	1.260002	1.381826	1.397825	1.381826
2	1.260002	0.742160	0.726513	0.742160
3	1.260002	1.571724	1.342058	1.571724
