site	time	r_tilde	r_tilde_small_t_tilde_large_t
1	0.260002	1.155389	1.397825	1.150758
2	0.260002	1.006357	0.726513	1.014082
3	0.260002	1.167695	1.342058	1.163033
4	0.260002	1.105286	1.199210	1.100878
5	0.260002	0.328722	0.254616	0.335399
6	0.260002	1.151818	1.305336	1.147211
7	0.260002	0.711082	0.357614	0.723752
8	0.260002	1.113381	0.945377	1.113636
9	0.260002	1.151554	1.284258	1.146944
10	0.260002	1.108716	1.187192	1.104306
1	0.280002	1.154314	1.397825	1.150758
2	0.280002	1.008260	0.726513	1.014082
3	0.280002	1.166618	1.342058	1.163033
4	0.280002	1.104270	1.199210	1.100878
5	0.280002	0.330093	0.254616	0.335399
6	0.280002	1.150752	1.305336	1.147211
7	0.280002	0.713963	0.357614	0.723752
8	0.280002	1.113542	0.945377	1.113636
9	0.280002	1.150486	1.284258	1.146944
10	0.280002	1.107702	1.187192	1.104306
1	0.300002	1.153495	1.397825	1.150758
2	0.300002	1.009687	0.726513	1.014082
3	0.300002	1.165795	1.342058	1.163033
4	0.300002	1.103491	1.199210	1.100878
5	0.300002	0.331184	0.254616	0.335399
6	0.300002	1.149938	1.305336	1.147211
7	0.300002	0.716173	0.357614	0.723752
8	0.300002	1.113641	0.945377	1.113636
9	0.300002	1.149671	1.284258	1.146944
10	0.300002	1.106924	1.187192	1.104306
1	0.320002	1.152868	1.397825	1.150758
2	0.320002	1.010760	0.726513	1.014082
3	0.320002	1.165164	1.342058	1.163033
4	0.320002	1.102894	1.199210	1.100878
5	0.320002	0.332052	0.254616	0.335399
6	0.320002	1.149314	1.305336	1.147211
7	0.320002	0.717874	0.357614	0.723752
8	0.320002	1.113700	0.945377	1.113636
9	0.320002	1.149047	1.284258	1.146944
10	0.320002	1.106327	1.187192	1.104306
1	0.340002	1.152388	1.397825	1.150758
2	0.340002	1.011568	0.726513	1.014082
3	0.340002	1.164680	1.342058	1.163033
4	0.340002	1.102436	1.199210	1.100878
5	0.340002	0.332741	0.254616	0.335399
6	0.340002	1.148835	1.305336	1.147211
7	0.340002	0.719185	0.357614	0.723752
8	0.340002	1.113731	0.945377	1.113636
9	0.340002	1.148568	1.284258	1.146944
10	0.340002	1.105868	1.187192	1.104306
1	0.360002	1.152018	1.397825	1.150758
2	0.360002	1.012178	0.726513	1.014082
3	0.360002	1.164307	1.342058	1.163033
4	0.360002	1.102083	1.199210	1.100878
5	0.360002	0.333289	0.254616	0.335399
6	0.360002	1.148467	1.305336	1.147211
7	0.360002	0.720198	0.357614	0.723752
8	0.360002	1.113745	0.945377	1.113636
9	0.360002	1.148200	1.284258	1.146944
10	0.360002	1.105514	1.187192	1.104306
1	0.380002	1.151734	1.397825	1.150758
2	0.380002	1.012639	0.726513	1.014082
3	0.380002	1.164020	1.342058	1.163033
4	0.380002	1.101811	1.199210	1.100878
5	0.380002	0.333724	0.254616	0.335399
6	0.380002	1.148184	1.305336	1.147211
7	0.380002	0.720983	0.357614	0.723752
8	0.380002	1.113748	0.945377	1.113636
9	0.380002	1.147917	1.284258	1.146944
10	0.380002	1.105242	1.187192	1.104306
1	0.400002	1.151514	1.397825	1.150758
2	0.400002	1.012988	0.726513	1.014082
3	0.400002	1.163798	1.342058	1.163033
4	0.400002	1.101601	1.199210	1.100878
5	0.400002	0.334070	0.254616	0.335399
6	0.400002	1.147965	1.305336	1.147211
7	0.400002	0.721591	0.357614	0.723752
8	0.400002	1.113744	0.945377	1.113636
9	0.400002	1.147698	1.284258	1.146944
10	0.400002	1.105031	1.187192	1.104306
1	0.420002	1.151345	1.397825	1.150758
2	0.420002	1.013252	0.726513	1.014082
3	0.420002	1.163627	1.342058	1.163033
4	0.420002	1.101439	1.199210	1.100878
5	0.420002	0.334344	0.254616	0.335399
6	0.420002	1.147796	1.305336	1.147211
7	0.420002	0.722064	0.357614	0.723752
8	0.420002	1.113736	0.945377	1.113636
9	0.420002	1.147529	1.284258	1.146944
10	0.420002	1.104869	1.187192	1.104306
1	0.440002	1.151214	1.397825	1.150758
2	0.440002	1.013452	0.726513	1.014082
3	0.440002	1.163494	1.342058	1.163033
4	0.440002	1.101314	1.199210	1.100878
5	0.440002	0.334562	0.254616	0.335399
6	0.440002	1.147665	1.305336	1.147211
7	0.440002	0.722432	0.357614	0.723752
8	0.440002	1.113726	0.945377	1.113636
9	0.440002	1.147398	1.284258	1.146944
10	0.440002	1.104743	1.187192	1.104306
1	0.460002	1.151112	1.397825	1.150758
2	0.460002	1.013604	0.726513	1.014082
3	0.460002	1.163392	1.342058	1.163033
4	0.460002	1.101217	1.199210	1.100878
5	0.460002	0.334735	0.254616	0.335399
6	0.460002	1.147564	1.305336	1.147211
7	0.460002	0.722718	0.357614	0.723752
8	0.460002	1.113715	0.945377	1.113636
9	0.460002	1.147297	1.284258	1.146944
10	0.460002	1.104646	1.187192	1.104306
1	0.480002	1.151034	1.397825	1.150758
2	0.480002	1.013719	0.726513	1.014082
3	0.480002	1.163312	1.342058	1.163033
4	0.480002	1.101142	1.199210	1.100878
5	0.480002	0.334872	0.254616	0.335399
6	0.480002	1.147486	1.305336	1.147211
7	0.480002	0.722942	0.357614	0.723752
8	0.480002	1.113705	0.945377	1.113636
9	0.480002	1.147219	1.284258	1.146944
10	0.480002	1.104570	1.187192	1.104306
1	0.500002	1.150973	1.397825	1.150758
2	0.500002	1.013807	0.726513	1.014082
3	0.500002	1.163251	1.342058	1.163033
4	0.500002	1.101083	1.199210	1.100878
5	0.500002	0.334981	0.254616	0.335399
6	0.500002	1.147425	1.305336	1.147211
7	0.500002	0.723116	0.357614	0.723752
8	0.500002	1.113695	0.945377	1.113636
9	0.500002	1.147158	1.284258	1.146944
10	0.500002	1.104512	1.187192	1.104306
1	0.520002	1.150925	1.397825	1.150758
2	0.520002	1.013873	0.726513	1.014082
3	0.520002	1.163203	1.342058	1.163033
4	0.520002	1.101038	1.199210	1.100878
5	0.520002	0.335067	0.254616	0.335399
6	0.520002	1.147378	1.305336	1.147211
7	0.520002	0.723253	0.357614	0.723752
8	0.520002	1.113686	0.945377	1.113636
9	0.520002	1.147111	1.284258	1.146944
10	0.520002	1.104466	1.187192	1.104306
1	0.540002	1.150888	1.397825	1.150758
2	0.540002	1.013923	0.726513	1.014082
3	0.540002	1.163165	1.342058	1.163033
4	0.540002	1.101003	1.199210	1.100878
5	0.540002	0.335136	0.254616	0.335399
6	0.540002	1.147341	1.305336	1.147211
7	0.540002	0.723360	0.357614	0.723752
8	0.540002	1.113678	0.945377	1.113636
9	0.540002	1.147074	1.284258	1.146944
10	0.540002	1.104431	1.187192	1.104306
1	0.560002	1.150860	1.397825	1.150758
2	0.560002	1.013962	0.726513	1.014082
3	0.560002	1.163137	1.342058	1.163033
4	0.560002	1.100975	1.199210	1.100878
5	0.560002	0.335190	0.254616	0.335399
6	0.560002	1.147313	1.305336	1.147211
7	0.560002	0.723443	0.357614	0.723752
8	0.560002	1.113672	0.945377	1.113636
9	0.560002	1.147046	1.284258	1.146944
10	0.560002	1.104404	1.187192	1.104306
1	0.580002	1.150838	1.397825	1.150758
2	0.580002	1.013991	0.726513	1.014082
3	0.580002	1.163114	1.342058	1.163033
4	0.580002	1.100954	1.199210	1.100878
5	0.580002	0.335233	0.254616	0.335399
6	0.580002	1.147291	1.305336	1.147211
7	0.580002	0.723509	0.357614	0.723752
8	0.580002	1.113666	0.945377	1.113636
9	0.580002	1.147023	1.284258	1.146944
10	0.580002	1.104382	1.187192	1.104306
1	0.600002	1.150820	1.397825	1.150758
2	0.600002	1.014013	0.726513	1.014082
3	0.600002	1.163097	1.342058	1.163033
4	0.600002	1.100938	1.199210	1.100878
5	0.600002	0.335267	0.254616	0.335399
6	0.600002	1.147273	1.305336	1.147211
7	0.600002	0.723560	0.357614	0.723752
8	0.600002	1.113661	0.945377	1.113636
9	0.600002	1.147006	1.284258	1.146944
10	0.600002	1.104366	1.187192	1.104306
1	0.620002	1.150807	1.397825	1.150758
2	0.620002	1.014029	0.726513	1.014082
3	0.620002	1.163083	1.342058	1.163033
4	0.620002	1.100925	1.199210	1.100878
5	0.620002	0.335294	0.254616	0.335399
6	0.620002	1.147260	1.305336	1.147211
7	0.620002	0.723601	0.357614	0.723752
8	0.620002	1.113656	0.945377	1.113636
9	0.620002	1.146993	1.284258	1.146944
10	0.620002	1.104353	1.187192	1.104306
1	0.640002	1.150796	1.397825	1.150758
2	0.640002	1.014042	0.726513	1.014082
3	0.640002	1.163072	1.342058	1.163033
4	0.640002	1.100915	1.199210	1.100878
5	0.640002	0.335315	0.254616	0.335399
6	0.640002	1.147249	1.305336	1.147211
7	0.640002	0.723632	0.357614	0.723752
8	0.640002	1.113653	0.945377	1.113636
9	0.640002	1.146982	1.284258	1.146944
10	0.640002	1.104343	1.187192	1.104306
1	0.660002	1.150788	1.397825	1.150758
2	0.660002	1.014052	0.726513	1.014082
3	0.660002	1.163064	1.342058	1.163033
4	0.660002	1.100907	1.199210	1.100878
5	0.660002	0.335332	0.254616	0.335399
6	0.660002	1.147241	1.305336	1.147211
7	0.660002	0.723657	0.357614	0.723752
8	0.660002	1.113650	0.945377	1.113636
9	0.660002	1.146974	1.284258	1.146944
10	0.660002	1.104335	1.187192	1.104306
1	0.680002	1.150782	1.397825	1.150758
2	0.680002	1.014059	0.726513	1.014082
3	0.680002	1.163057	1.342058	1.163033
4	0.680002	1.100901	1.199210	1.100878
5	0.680002	0.335346	0.254616	0.335399
6	0.680002	1.147235	1.305336	1.147211
7	0.680002	0.723677	0.357614	0.723752
8	0.680002	1.113647	0.945377	1.113636
9	0.680002	1.146968	1.284258	1.146944
10	0.680002	1.104329	1.187192	1.104306
1	0.700002	1.150777	1.397825	1.150758
2	0.700002	1.014064	0.726513	1.014082
3	0.700002	1.163052	1.342058	1.163033
4	0.700002	1.100896	1.199210	1.100878
5	0.700002	0.335357	0.254616	0.335399
6	0.700002	1.147230	1.305336	1.147211
7	0.700002	0.723693	0.357614	0.723752
8	0.700002	1.113645	0.945377	1.113636
9	0.700002	1.146963	1.284258	1.146944
10	0.700002	1.104324	1.187192	1.104306
1	0.720002	1.150773	1.397825	1.150758
2	0.720002	1.014069	0.726513	1.014082
3	0.720002	1.163048	1.342058	1.163033
4	0.720002	1.100892	1.199210	1.100878
5	0.720002	0.335365	0.254616	0.335399
6	0.720002	1.147226	1.305336	1.147211
7	0.720002	0.723705	0.357614	0.723752
8	0.720002	1.113644	0.945377	1.113636
9	0.720002	1.146959	1.284258	1.146944
10	0.720002	1.104320	1.187192	1.104306
1	0.740002	1.150770	1.397825	1.150758
2	0.740002	1.014072	0.726513	1.014082
3	0.740002	1.163045	1.342058	1.163033
4	0.740002	1.100889	1.199210	1.100878
5	0.740002	0.335372	0.254616	0.335399
6	0.740002	1.147223	1.305336	1.147211
7	0.740002	0.723714	0.357614	0.723752
8	0.740002	1.113642	0.945377	1.113636
9	0.740002	1.146956	1.284258	1.146944
10	0.740002	1.104317	1.187192	1.104306
1	0.760002	1.150767	1.397825	1.150758
2	0.760002	1.014074	0.726513	1.014082
3	0.760002	1.163043	1.342058	1.163033
4	0.760002	1.100887	1.199210	1.100878
5	0.760002	0.335377	0.254616	0.335399
6	0.760002	1.147220	1.305336	1.147211
7	0.760002	0.723722	0.357614	0.723752
8	0.760002	1.113641	0.945377	1.113636
9	0.760002	1.146953	1.284258	1.146944
10	0.760002	1.104315	1.187192	1.104306
1	0.780002	1.150765	1.397825	1.150758
2	0.780002	1.014076	0.726513	1.014082
3	0.780002	1.163041	1.342058	1.163033
4	0.780002	1.100885	1.199210	1.100878
5	0.780002	0.335381	0.254616	0.335399
6	0.780002	1.147219	1.305336	1.147211
7	0.780002	0.723728	0.357614	0.723752
8	0.780002	1.113640	0.945377	1.113636
9	0.780002	1.146951	1.284258	1.146944
10	0.780002	1.104313	1.187192	1.104306
1	0.800002	1.150764	1.397825	1.150758
2	0.800002	1.014077	0.726513	1.014082
3	0.800002	1.163040	1.342058	1.163033
4	0.800002	1.100884	1.199210	1.100878
5	0.800002	0.335385	0.254616	0.335399
6	0.800002	1.147217	1.305336	1.147211
7	0.800002	0.723733	0.357614	0.723752
8	0.800002	1.113639	0.945377	1.113636
9	0.800002	1.146950	1.284258	1.146944
10	0.800002	1.104312	1.187192	1.104306
1	0.820002	1.150763	1.397825	1.150758
2	0.820002	1.014078	0.726513	1.014082
3	0.820002	1.163038	1.342058	1.163033
4	0.820002	1.100883	1.199210	1.100878
5	0.820002	0.335387	0.254616	0.335399
6	0.820002	1.147216	1.305336	1.147211
7	0.820002	0.723736	0.357614	0.723752
8	0.820002	1.113639	0.945377	1.113636
9	0.820002	1.146949	1.284258	1.146944
10	0.820002	1.104311	1.187192	1.104306
1	0.840002	1.150762	1.397825	1.150758
2	0.840002	1.014079	0.726513	1.014082
3	0.840002	1.163037	1.342058	1.163033
4	0.840002	1.100882	1.199210	1.100878
5	0.840002	0.335389	0.254616	0.335399
6	0.840002	1.147215	1.305336	1.147211
7	0.840002	0.723739	0.357614	0.723752
8	0.840002	1.113638	0.945377	1.113636
9	0.840002	1.146948	1.284258	1.146944
10	0.840002	1.104310	1.187192	1.104306
1	0.860002	1.150761	1.397825	1.150758
2	0.860002	1.014080	0.726513	1.014082
3	0.860002	1.163037	1.342058	1.163033
4	0.860002	1.100881	1.199210	1.100878
5	0.860002	0.335391	0.254616	0.335399
6	0.860002	1.147214	1.305336	1.147211
7	0.860002	0.723742	0.357614	0.723752
8	0.860002	1.113638	0.945377	1.113636
9	0.860002	1.146947	1.284258	1.146944
10	0.860002	1.104309	1.187192	1.104306
1	0.880002	1.150761	1.397825	1.150758
2	0.880002	1.014080	0.726513	1.014082
3	0.880002	1.163036	1.342058	1.163033
4	0.880002	1.100881	1.199210	1.100878
5	0.880002	0.335392	0.254616	0.335399
6	0.880002	1.147214	1.305336	1.147211
7	0.880002	0.723744	0.357614	0.723752
8	0.880002	1.113638	0.945377	1.113636
9	0.880002	1.146947	1.284258	1.146944
10	0.880002	1.104308	1.187192	1.104306
1	0.900002	1.150760	1.397825	1.150758
2	0.900002	1.014081	0.726513	1.014082
3	0.900002	1.163036	1.342058	1.163033
4	0.900002	1.100880	1.199210	1.100878
5	0.900002	0.335394	0.254616	0.335399
6	0.900002	1.147213	1.305336	1.147211
7	0.900002	0.723745	0.357614	0.723752
8	0.900002	1.113637	0.945377	1.113636
9	0.900002	1.146946	1.284258	1.146944
10	0.900002	1.104308	1.187192	1.104306
1	0.920002	1.150760	1.397825	1.150758
2	0.920002	1.014081	0.726513	1.014082
3	0.920002	1.163035	1.342058	1.163033
4	0.920002	1.100880	1.199210	1.100878
5	0.920002	0.335394	0.254616	0.335399
6	0.920002	1.147213	1.305336	1.147211
7	0.920002	0.723746	0.357614	0.723752
8	0.920002	1.113637	0.945377	1.113636
9	0.920002	1.146946	1.284258	1.146944
10	0.920002	1.104308	1.187192	1.104306
1	0.940002	1.150759	1.397825	1.150758
2	0.940002	1.014081	0.726513	1.014082
3	0.940002	1.163035	1.342058	1.163033
4	0.940002	1.100880	1.199210	1.100878
5	0.940002	0.335395	0.254616	0.335399
6	0.940002	1.147213	1.305336	1.147211
7	0.940002	0.723747	0.357614	0.723752
8	0.940002	1.113637	0.945377	1.113636
9	0.940002	1.146946	1.284258	1.146944
10	0.940002	1.104307	1.187192	1.104306
1	0.960002	1.150759	1.397825	1.150758
2	0.960002	1.014081	0.726513	1.014082
3	0.960002	1.163035	1.342058	1.163033
4	0.960002	1.100879	1.199210	1.100878
5	0.960002	0.335396	0.254616	0.335399
6	0.960002	1.147212	1.305336	1.147211
7	0.960002	0.723748	0.357614	0.723752
8	0.960002	1.113637	0.945377	1.113636
9	0.960002	1.146945	1.284258	1.146944
10	0.960002	1.104307	1.187192	1.104306
1	0.980002	1.150759	1.397825	1.150758
2	0.980002	1.014081	0.726513	1.014082
3	0.980002	1.163035	1.342058	1.163033
4	0.980002	1.100879	1.199210	1.100878
5	0.980002	0.335396	0.254616	0.335399
6	0.980002	1.147212	1.305336	1.147211
7	0.980002	0.723748	0.357614	0.723752
8	0.980002	1.113637	0.945377	1.113636
9	0.980002	1.146945	1.284258	1.146944
10	0.980002	1.104307	1.187192	1.104306
1	1.000002	1.150759	1.397825	1.150758
2	1.000002	1.014081	0.726513	1.014082
3	1.000002	1.163035	1.342058	1.163033
4	1.000002	1.100879	1.199210	1.100878
5	1.000002	0.335396	0.254616	0.335399
6	1.000002	1.147212	1.305336	1.147211
7	1.000002	0.723749	0.357614	0.723752
8	1.000002	1.113637	0.945377	1.113636
9	1.000002	1.146945	1.284258	1.146944
10	1.000002	1.104307	1.187192	1.104306
1	1.020002	1.150759	1.397825	1.150758
2	1.020002	1.014081	0.726513	1.014082
3	1.020002	1.163034	1.342058	1.163033
4	1.020002	1.100879	1.199210	1.100878
5	1.020002	0.335397	0.254616	0.335399
6	1.020002	1.147212	1.305336	1.147211
7	1.020002	0.723749	0.357614	0.723752
8	1.020002	1.113637	0.945377	1.113636
9	1.020002	1.146945	1.284258	1.146944
10	1.020002	1.104307	1.187192	1.104306
1	1.040002	1.150759	1.397825	1.150758
2	1.040002	1.014081	0.726513	1.014082
3	1.040002	1.163034	1.342058	1.163033
4	1.040002	1.100879	1.199210	1.100878
5	1.040002	0.335397	0.254616	0.335399
6	1.040002	1.147212	1.305336	1.147211
7	1.040002	0.723750	0.357614	0.723752
8	1.040002	1.113636	0.945377	1.113636
9	1.040002	1.146945	1.284258	1.146944
10	1.040002	1.104307	1.187192	1.104306
1	1.060002	1.150759	1.397825	1.150758
2	1.060002	1.014082	0.726513	1.014082
3	1.060002	1.163034	1.342058	1.163033
4	1.060002	1.100879	1.199210	1.100878
5	1.060002	0.335397	0.254616	0.335399
6	1.060002	1.147212	1.305336	1.147211
7	1.060002	0.723750	0.357614	0.723752
8	1.060002	1.113636	0.945377	1.113636
9	1.060002	1.146945	1.284258	1.146944
10	1.060002	1.104307	1.187192	1.104306
1	1.080002	1.150759	1.397825	1.150758
2	1.080002	1.014082	0.726513	1.014082
3	1.080002	1.163034	1.342058	1.163033
4	1.080002	1.100879	1.199210	1.100878
5	1.080002	0.335397	0.254616	0.335399
6	1.080002	1.147212	1.305336	1.147211
7	1.080002	0.723750	0.357614	0.723752
8	1.080002	1.113636	0.945377	1.113636
9	1.080002	1.146945	1.284258	1.146944
10	1.080002	1.104307	1.187192	1.104306
1	1.100002	1.150759	1.397825	1.150758
2	1.100002	1.014082	0.726513	1.014082
3	1.100002	1.163034	1.342058	1.163033
4	1.100002	1.100879	1.199210	1.100878
5	1.100002	0.335397	0.254616	0.335399
6	1.100002	1.147212	1.305336	1.147211
7	1.100002	0.723750	0.357614	0.723752
8	1.100002	1.113636	0.945377	1.113636
9	1.100002	1.146945	1.284258	1.146944
10	1.100002	1.104307	1.187192	1.104306
1	1.120002	1.150758	1.397825	1.150758
2	1.120002	1.014082	0.726513	1.014082
3	1.120002	1.163034	1.342058	1.163033
4	1.120002	1.100879	1.199210	1.100878
5	1.120002	0.335398	0.254616	0.335399
6	1.120002	1.147212	1.305336	1.147211
7	1.120002	0.723750	0.357614	0.723752
8	1.120002	1.113636	0.945377	1.113636
9	1.120002	1.146945	1.284258	1.146944
10	1.120002	1.104307	1.187192	1.104306
1	1.140002	1.150758	1.397825	1.150758
2	1.140002	1.014082	0.726513	1.014082
3	1.140002	1.163034	1.342058	1.163033
4	1.140002	1.100879	1.199210	1.100878
5	1.140002	0.335398	0.254616	0.335399
6	1.140002	1.147212	1.305336	1.147211
7	1.140002	0.723750	0.357614	0.723752
8	1.140002	1.113636	0.945377	1.113636
9	1.140002	1.146945	1.284258	1.146944
10	1.140002	1.104307	1.187192	1.104306
1	1.160002	1.150758	1.397825	1.150758
2	1.160002	1.014082	0.726513	1.014082
3	1.160002	1.163034	1.342058	1.163033
4	1.160002	1.100879	1.199210	1.100878
5	1.160002	0.335398	0.254616	0.335399
6	1.160002	1.147212	1.305336	1.147211
7	1.160002	0.723751	0.357614	0.723752
8	1.160002	1.113636	0.945377	1.113636
9	1.160002	1.146945	1.284258	1.146944
10	1.160002	1.104307	1.187192	1.104306
1	1.180002	1.150758	1.397825	1.150758
2	1.180002	1.014082	0.726513	1.014082
3	1.180002	1.163034	1.342058	1.163033
4	1.180002	1.100879	1.199210	1.100878
5	1.180002	0.335398	0.254616	0.335399
6	1.180002	1.147212	1.305336	1.147211
7	1.180002	0.723751	0.357614	0.723752
8	1.180002	1.113636	0.945377	1.113636
9	1.180002	1.146945	1.284258	1.146944
10	1.180002	1.104307	1.187192	1.104306
1	1.200002	1.150758	1.397825	1.150758
2	1.200002	1.014082	0.726513	1.014082
3	1.200002	1.163034	1.342058	1.163033
4	1.200002	1.100879	1.199210	1.100878
5	1.200002	0.335398	0.254616	0.335399
6	1.200002	1.147212	1.305336	1.147211
7	1.200002	0.723751	0.357614	0.723752
8	1.200002	1.113636	0.945377	1.113636
9	1.200002	1.146945	1.284258	1.146944
10	1.200002	1.104306	1.187192	1.104306
1	1.220002	1.150758	1.397825	1.150758
2	1.220002	1.014082	0.726513	1.014082
3	1.220002	1.163034	1.342058	1.163033
4	1.220002	1.100879	1.199210	1.100878
5	1.220002	0.335398	0.254616	0.335399
6	1.220002	1.147212	1.305336	1.147211
7	1.220002	0.723751	0.357614	0.723752
8	1.220002	1.113636	0.945377	1.113636
9	1.220002	1.146945	1.284258	1.146944
10	1.220002	1.104306	1.187192	1.104306
1	1.240002	1.150758	1.397825	1.150758
2	1.240002	1.014082	0.726513	1.014082
3	1.240002	1.163034	1.342058	1.163033
4	1.240002	1.100879	1.199210	1.100878
5	1.240002	0.335398	0.254616	0.335399
6	1.240002	1.147212	1.305336	1.147211
7	1.240002	0.723751	0.357614	0.723752
8	1.240002	1.113636	0.945377	1.113636
9	1.240002	1.146944	1.284258	1.146944
10	1.240002	1.104306	1.187192	1.104306
1	1.260002	1.150758	1.397825	1.150758
2	1.260002	1.014082	0.726513	1.014082
3	1.260002	1.163034	1.342058	1.163033
