site,rate,t,lnL,num_taxa,time,br_len,model,rep
8,1.0824257794,1.1442153287,-561310.104305614,2,0.04,0.02,JC_equalf,23
9,1.663176585,1.1442153287,-586446.112682359,2,0.04,0.02,JC_equalf,23
10,1.3980725417,1.1442153287,-578124.368633056,2,0.04,0.02,JC_equalf,23
1,1.8330247358,1.1464622902,-590066.810735574,2,0.04,0.02,JC_equalf,24
2,0.7142021992,1.1464622902,-525070.712770547,2,0.04,0.02,JC_equalf,24
3,1.7556846215,1.1464622902,-588591.789402262,2,0.04,0.02,JC_equalf,24
4,1.4067268848,1.1464622902,-578571.354562728,2,0.04,0.02,JC_equalf,24
5,0.175149997,1.1464622902,-396496.494442068,2,0.04,0.02,JC_equalf,24
6,1.6409145265,1.1464622902,-585973.368049187,2,0.04,0.02,JC_equalf,24
7,0.3429804501,1.1464622902,-452333.718515865,2,0.04,0.02,JC_equalf,24
8,1.0895724408,1.1464622902,-561952.740088833,2,0.04,0.02,JC_equalf,24
9,1.6537200293,1.1464622902,-586293.760803767,2,0.04,0.02,JC_equalf,24
10,1.4076485355,1.1464622902,-578607.109624245,2,0.04,0.02,JC_equalf,24
1,1.8426584467,1.1457734117,-590216.791484817,2,0.04,0.02,JC_equalf,25
2,0.7172395807,1.1457734117,-525422.888816294,2,0.04,0.02,JC_equalf,25
3,1.7545427182,1.1457734117,-588546.725399425,2,0.04,0.02,JC_equalf,25
4,1.3994070541,1.1457734117,-578252.168109469,2,0.04,0.02,JC_equalf,25
5,0.1733706635,1.1457734117,-395737.80111995,2,0.04,0.02,JC_equalf,25
6,1.6456466298,1.1457734117,-586067.807443914,2,0.04,0.02,JC_equalf,25
7,0.3451490271,1.1457734117,-452873.217866362,2,0.04,0.02,JC_equalf,25
8,1.0878597919,1.1457734117,-561789.687482186,2,0.04,0.02,JC_equalf,25
9,1.6617161069,1.1457734117,-586465.674556635,2,0.04,0.02,JC_equalf,25
10,1.3941266121,1.1457734117,-578043.226590022,2,0.04,0.02,JC_equalf,25
1,1.8467521767,1.1455450845,-590281.539645887,2,0.04,0.02,JC_equalf,26
2,0.7201250456,1.1455450845,-525791.295770237,2,0.04,0.02,JC_equalf,26
3,1.7494896842,1.1455450845,-588435.17319701,2,0.04,0.02,JC_equalf,26
4,1.3950403613,1.1455450845,-578068.482607159,2,0.04,0.02,JC_equalf,26
5,0.1747400293,1.1455450845,-396275.413507149,2,0.04,0.02,JC_equalf,26
6,1.6440392683,1.1455450845,-586019.095171399,2,0.04,0.02,JC_equalf,26
7,0.3423432999,1.1455450845,-452082.370477689,2,0.04,0.02,JC_equalf,26
8,1.0870866568,1.1455450845,-561721.307234382,2,0.04,0.02,JC_equalf,26
9,1.6589690429,1.1455450845,-586390.376891888,2,0.04,0.02,JC_equalf,26
10,1.4006455692,1.1455450845,-578289.915191606,2,0.04,0.02,JC_equalf,26
1,1.8264106945,1.1457336029,-589927.960802908,2,0.04,0.02,JC_equalf,27
2,0.7172020778,1.1457336029,-525414.443941141,2,0.04,0.02,JC_equalf,27
3,1.7533015068,1.1457336029,-588519.935418295,2,0.04,0.02,JC_equalf,27
4,1.4007809747,1.1457336029,-578304.288690515,2,0.04,0.02,JC_equalf,27
5,0.17476739,1.1457336029,-396297.980491635,2,0.04,0.02,JC_equalf,27
6,1.6491612876,1.1457336029,-586154.414010221,2,0.04,0.02,JC_equalf,27
7,0.3438250139,1.1457336029,-452506.164057644,2,0.04,0.02,JC_equalf,27
8,1.0918046337,1.1457336029,-562058.369932595,2,0.04,0.02,JC_equalf,27
9,1.6600489448,1.1457336029,-586423.527734504,2,0.04,0.02,JC_equalf,27
10,1.3951285725,1.1457336029,-578081.106611058,2,0.04,0.02,JC_equalf,27
1,1.8413851079,1.1467073793,-590220.760669604,2,0.04,0.02,JC_equalf,28
2,0.7142994385,1.1467073793,-525104.548899338,2,0.04,0.02,JC_equalf,28
3,1.755996687,1.1467073793,-588605.857487312,2,0.04,0.02,JC_equalf,28
4,1.4053216455,1.1467073793,-578528.419490499,2,0.04,0.02,JC_equalf,28
5,0.1757860892,1.1467073793,-396766.977093363,2,0.04,0.02,JC_equalf,28
6,1.655141109,1.1467073793,-586337.572635274,2,0.04,0.02,JC_equalf,28
7,0.3423496502,1.1467073793,-452179.933507386,2,0.04,0.02,JC_equalf,28
8,1.0814045051,1.1467073793,-561403.094523117,2,0.04,0.02,JC_equalf,28
9,1.6484904164,1.1467073793,-586172.620467872,2,0.04,0.02,JC_equalf,28
10,1.4087316184,1.1467073793,-578660.700996469,2,0.04,0.02,JC_equalf,28
1,1.835575213,1.1446815882,-590061.484763722,2,0.04,0.02,JC_equalf,29
2,0.7146876463,1.1446815882,-524986.097151138,2,0.04,0.02,JC_equalf,29
3,1.7585534454,1.1446815882,-588594.603568723,2,0.04,0.02,JC_equalf,29
4,1.4047730779,1.1446815882,-578410.185096647,2,0.04,0.02,JC_equalf,29
5,0.1750066609,1.1446815882,-396329.571326184,2,0.04,0.02,JC_equalf,29
6,1.6447955973,1.1446815882,-586006.906886717,2,0.04,0.02,JC_equalf,29
7,0.3456831962,1.1446815882,-452929.359952083,2,0.04,0.02,JC_equalf,29
8,1.0795130997,1.1446815882,-561137.195003427,2,0.04,0.02,JC_equalf,29
9,1.6599743102,1.1446815882,-586384.346113661,2,0.04,0.02,JC_equalf,29
10,1.3983231838,1.1446815882,-578156.794535951,2,0.04,0.02,JC_equalf,29
1,1.8368419841,1.145816476,-590116.021200923,2,0.04,0.02,JC_equalf,3
2,0.7108003841,1.145816476,-524553.995436805,2,0.04,0.02,JC_equalf,3
3,1.7542707567,1.145816476,-588542.497047595,2,0.04,0.02,JC_equalf,3
4,1.404253843,1.145816476,-578444.246750738,2,0.04,0.02,JC_equalf,3
5,0.1752599412,1.145816476,-396501.004547855,2,0.04,0.02,JC_equalf,3
6,1.6581459446,1.145816476,-586379.822353344,2,0.04,0.02,JC_equalf,3
7,0.3439092202,1.145816476,-452536.144473949,2,0.04,0.02,JC_equalf,3
8,1.0857765843,1.145816476,-561648.467102362,2,0.04,0.02,JC_equalf,3
9,1.6541629208,1.145816476,-586281.665263917,2,0.04,0.02,JC_equalf,3
10,1.4029232062,1.145816476,-578392.249966154,2,0.04,0.02,JC_equalf,3
1,1.8568345188,1.145852954,-590462.951615411,2,0.04,0.02,JC_equalf,30
2,0.711670242,1.145852954,-524675.530727742,2,0.04,0.02,JC_equalf,30
3,1.7437870432,1.145852954,-588326.034678681,2,0.04,0.02,JC_equalf,30
4,1.3903167826,1.145852954,-577895.084241866,2,0.04,0.02,JC_equalf,30
5,0.1739639831,1.145852954,-395981.883068365,2,0.04,0.02,JC_equalf,30
6,1.6475325282,1.145852954,-586117.973426984,2,0.04,0.02,JC_equalf,30
7,0.3458348376,1.145852954,-453067.798830952,2,0.04,0.02,JC_equalf,30
8,1.0896072992,1.145852954,-561915.304224448,2,0.04,0.02,JC_equalf,30
9,1.6593838689,1.145852954,-586411.47649367,2,0.04,0.02,JC_equalf,30
10,1.4075669392,1.145852954,-578574.931057709,2,0.04,0.02,JC_equalf,30
1,1.8543250924,1.1456906784,-590415.760838035,2,0.04,0.02,JC_equalf,4
2,0.7089720709,1.1456906784,-524293.717198103,2,0.04,0.02,JC_equalf,4
3,1.7447119328,1.1456906784,-588340.231355658,2,0.04,0.02,JC_equalf,4
4,1.4031690189,1.1456906784,-578395.837430439,2,0.04,0.02,JC_equalf,4
5,0.1747178057,1.1456906784,-396275.413507151,2,0.04,0.02,JC_equalf,4
6,1.6486765162,1.1456906784,-586140.753113436,2,0.04,0.02,JC_equalf,4
7,0.3424358016,1.1456906784,-452119.89847126,2,0.04,0.02,JC_equalf,4
8,1.0881302487,1.1456906784,-561802.917294655,2,0.04,0.02,JC_equalf,4
9,1.6677768072,1.1456906784,-586609.793217361,2,0.04,0.02,JC_equalf,4
10,1.4043618641,1.1456906784,-578442.454525317,2,0.04,0.02,JC_equalf,4
1,1.8357210392,1.1488734288,-590182.364534043,2,0.04,0.02,JC_equalf,5
2,0.7164305606,1.1488734288,-525574.834747685,2,0.04,0.02,JC_equalf,5
3,1.7345521825,1.1488734288,-588227.892152907,2,0.04,0.02,JC_equalf,5
4,1.4112064318,1.1488734288,-578858.558319682,2,0.04,0.02,JC_equalf,5
5,0.177092597,1.1488734288,-397424.103881277,2,0.04,0.02,JC_equalf,5
6,1.6494566923,1.1488734288,-586274.103462705,2,0.04,0.02,JC_equalf,5
7,0.3440409258,1.1488734288,-452824.552888051,2,0.04,0.02,JC_equalf,5
8,1.0833326007,1.1488734288,-561679.375052529,2,0.04,0.02,JC_equalf,5
9,1.6572938223,1.1488734288,-586467.178864205,2,0.04,0.02,JC_equalf,5
10,1.4061218848,1.1488734288,-578662.486523247,2,0.04,0.02,JC_equalf,5
1,1.8453769701,1.1469193788,-590296.050956334,2,0.04,0.02,JC_equalf,6
2,0.71275278,1.1469193788,-524912.734383374,2,0.04,0.02,JC_equalf,6
3,1.748824542,1.1469193788,-588464.867990213,2,0.04,0.02,JC_equalf,6
4,1.4102271675,1.1469193788,-578728.512333064,2,0.04,0.02,JC_equalf,6
5,0.1752709104,1.1469193788,-396573.156729918,2,0.04,0.02,JC_equalf,6
6,1.6500716032,1.1469193788,-586219.611092578,2,0.04,0.02,JC_equalf,6
7,0.3449269203,1.1469193788,-452906.904379215,2,0.04,0.02,JC_equalf,6
8,1.0788293351,1.1469193788,-561236.984179087,2,0.04,0.02,JC_equalf,6
9,1.663698159,1.1469193788,-586554.318118398,2,0.04,0.02,JC_equalf,6
10,1.3998354068,1.1469193788,-578324.046536175,2,0.04,0.02,JC_equalf,6
1,1.8285434181,1.1443971513,-589927.960802908,2,0.04,0.02,JC_equalf,7
2,0.7144902826,1.1443971513,-524935.310433543,2,0.04,0.02,JC_equalf,7
3,1.7662502956,1.1443971513,-588741.960935024,2,0.04,0.02,JC_equalf,7
4,1.4128719978,1.1443971513,-578710.674949658,2,0.04,0.02,JC_equalf,7
5,0.1719875226,1.1443971513,-395094.973671779,2,0.04,0.02,JC_equalf,7
6,1.6645175752,1.1443971513,-586485.225516859,2,0.04,0.02,JC_equalf,7
7,0.3407419257,1.1443971513,-451545.206670778,2,0.04,0.02,JC_equalf,7
8,1.0817775629,1.1443971513,-561276.874033607,2,0.04,0.02,JC_equalf,7
9,1.6624808166,1.1443971513,-586435.574846808,2,0.04,0.02,JC_equalf,7
10,1.3981236164,1.1443971513,-578135.179231108,2,0.04,0.02,JC_equalf,7
1,1.8355635926,1.147085192,-590129.30434248,2,0.04,0.02,JC_equalf,8
2,0.7143972535,1.147085192,-525149.654742647,2,0.04,0.02,JC_equalf,8
3,1.7541133498,1.147085192,-588579.122254416,2,0.04,0.02,JC_equalf,8
4,1.4053645508,1.147085192,-578548.101990903,2,0.04,0.02,JC_equalf,8
5,0.1749202959,1.147085192,-396442.367715608,2,0.04,0.02,JC_equalf,8
6,1.6538002273,1.147085192,-586317.939538731,2,0.04,0.02,JC_equalf,8
7,0.3446590193,1.147085192,-452847.014628632,2,0.04,0.02,JC_equalf,8
8,1.0876056863,1.147085192,-561858.023793352,2,0.04,0.02,JC_equalf,8
9,1.6572328123,1.147085192,-586402.435354489,2,0.04,0.02,JC_equalf,8
10,1.3956202334,1.147085192,-578165.798594149,2,0.04,0.02,JC_equalf,8
1,1.8467340196,1.1459820167,-590293.413191171,2,0.04,0.02,JC_equalf,9
2,0.7113617394,1.1459820167,-524644.447369089,2,0.04,0.02,JC_equalf,9
3,1.7500502116,1.1459820167,-588460.62772295,2,0.04,0.02,JC_equalf,9
4,1.4032707991,1.1459820167,-578413.771465407,2,0.04,0.02,JC_equalf,9
5,0.1744377602,1.1459820167,-396180.613028384,2,0.04,0.02,JC_equalf,9
6,1.6474682059,1.1459820167,-586121.011550643,2,0.04,0.02,JC_equalf,9
7,0.342892916,1.1459820167,-452269.963560046,2,0.04,0.02,JC_equalf,9
8,1.095266171,1.1459820167,-562311.011918404,2,0.04,0.02,JC_equalf,9
9,1.6622157475,1.1459820167,-586485.225516859,2,0.04,0.02,JC_equalf,9
10,1.3952353492,1.1459820167,-578097.333549168,2,0.04,0.02,JC_equalf,9
1,2.1074773135,1.5659751685,-598069.129117422,2,0.08,0.04,JC_equalf,1
2,0.7992802705,1.5659751685,-562102.351221167,2,0.08,0.04,JC_equalf,1
3,2.1584998082,1.5659751685,-598217.373898488,2,0.08,0.04,JC_equalf,1
4,1.5288386765,1.5659751685,-593660.496126366,2,0.08,0.04,JC_equalf,1
5,0.1639236437,1.5659751685,-414963.217836532,2,0.08,0.04,JC_equalf,1
6,1.9515259778,1.5659751685,-597459.825024283,2,0.08,0.04,JC_equalf,1
7,0.3881043022,1.5659751685,-495372.345304589,2,0.08,0.04,JC_equalf,1
8,1.2602909885,1.5659751685,-587868.16129361,2,0.08,0.04,JC_equalf,1
9,1.9519545729,1.5659751685,-597461.885859027,2,0.08,0.04,JC_equalf,1
10,1.5419367117,1.5659751685,-593853.021884379,2,0.08,0.04,JC_equalf,1
1,2.1233901631,1.5666354042,-598120.333404454,2,0.08,0.04,JC_equalf,10
2,0.799742624,1.5666354042,-562177.07734085,2,0.08,0.04,JC_equalf,10
3,2.1881119755,1.5666354042,-598296.410451606,2,0.08,0.04,JC_equalf,10
4,1.5134194768,1.5666354042,-593435.177000773,2,0.08,0.04,JC_equalf,10
5,0.1634811827,1.5666354042,-414780.885586384,2,0.08,0.04,JC_equalf,10
6,1.9591809417,1.5666354042,-597500.161739403,2,0.08,0.04,JC_equalf,10
7,0.3895467283,1.5666354042,-495790.009063407,2,0.08,0.04,JC_equalf,10
8,1.2522131069,1.5666354042,-587640.996206288,2,0.08,0.04,JC_equalf,10
9,1.9545690382,1.5666354042,-597478.334716126,2,0.08,0.04,JC_equalf,10
10,1.5446779527,1.5666354042,-593901.82237011,2,0.08,0.04,JC_equalf,10
1,2.1132568839,1.5690437676,-598099.643151757,2,0.08,0.04,JC_equalf,11
2,0.7993141761,1.5690437676,-562251.750456942,2,0.08,0.04,JC_equalf,11
3,2.1476130824,1.5690437676,-598199.159551265,2,0.08,0.04,JC_equalf,11
4,1.5108813107,1.5690437676,-593431.821193642,2,0.08,0.04,JC_equalf,11
5,0.1655920569,1.5690437676,-415932.402114253,2,0.08,0.04,JC_equalf,11
