site,rate,t,lnL,num_taxa,time,br_len,site_dupl,rep
39,1.8459161576,1.5951098189,-59.708103282,2,0.48,0.24,10,1
40,1.8459161392,1.5951098189,-59.708103282,2,0.48,0.24,10,1
41,1.8459161532,1.5951098189,-59.708103282,2,0.48,0.24,10,1
42,232.6281980408,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
43,1.84591614,1.5951098189,-59.708103282,2,0.48,0.24,10,1
44,113.5700958246,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
45,1.8459160662,1.5951098189,-59.708103282,2,0.48,0.24,10,1
46,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
47,1.8459161547,1.5951098189,-59.708103282,2,0.48,0.24,10,1
48,1.8459161816,1.5951098189,-59.708103282,2,0.48,0.24,10,1
49,1.8459162053,1.5951098189,-59.708103282,2,0.48,0.24,10,1
50,1.1571784548,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
51,0,1.5951098189,-29.9573227355,2,0.48,0.24,10,1
52,0.6259937873,1.5951098189,-54.3540732806,2,0.48,0.24,10,1
53,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
54,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
55,0.3426370489,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
56,1.1571784708,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
57,0.342637052,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
58,1.8459162528,1.5951098189,-59.708103282,2,0.48,0.24,10,1
59,1.8459161582,1.5951098189,-59.708103282,2,0.48,0.24,10,1
60,0.342637041,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
61,0,1.5951098189,-29.9573227355,2,0.48,0.24,10,1
62,1.8459161099,1.5951098189,-59.708103282,2,0.48,0.24,10,1
63,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
64,1.8459160908,1.5951098189,-59.708103282,2,0.48,0.24,10,1
65,19.7248390407,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
66,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
67,27.2863390609,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
68,0.4684407342,1.5951098189,-51.610989437,2,0.48,0.24,10,1
69,27.149427685,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
70,228.3478066078,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
71,119.4815858279,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
72,1.8459163732,1.5951098189,-59.708103282,2,0.48,0.24,10,1
73,0.2379144175,1.5951098189,-44.8992826946,2,0.48,0.24,10,1
74,0.8369336213,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
75,1.8459158985,1.5951098189,-59.708103282,2,0.48,0.24,10,1
76,1.1571784387,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
77,0.2379081453,1.5951098189,-44.8992826936,2,0.48,0.24,10,1
78,278.1962508708,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
79,420.3056103201,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
80,959.1212875655,1.5951098189,-59.914645471,2,0.48,0.24,10,1
81,1.8459161422,1.5951098189,-59.708103282,2,0.48,0.24,10,1
82,1.8459160905,1.5951098189,-59.708103282,2,0.48,0.24,10,1
83,20.1433038651,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
84,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
85,1.1571783525,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
86,1.8459161529,1.5951098189,-59.708103282,2,0.48,0.24,10,1
87,1.8459162267,1.5951098189,-59.708103282,2,0.48,0.24,10,1
88,1.1571784787,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
89,0.2379081486,1.5951098189,-44.8992826936,2,0.48,0.24,10,1
90,156.1637509742,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
91,0,1.5951098189,-29.9573227355,2,0.48,0.24,10,1
92,0.8369336404,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
93,9413.279876844,1.5951098189,-59.9146454708,2,0.48,0.24,10,1
94,0.468440726,1.5951098189,-51.610989437,2,0.48,0.24,10,1
95,0.6259937832,1.5951098189,-54.3540732806,2,0.48,0.24,10,1
96,23.1641539329,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
97,139.1561072192,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
98,1.8459161585,1.5951098189,-59.708103282,2,0.48,0.24,10,1
99,2492.433962889,1.5951098189,-59.914645471,2,0.48,0.24,10,1
100,0.3426370441,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
101,0.4684407151,1.5951098189,-51.610989437,2,0.48,0.24,10,1
102,46.0420275741,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
103,1.8459161631,1.5951098189,-59.708103282,2,0.48,0.24,10,1
104,0.3426370408,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
105,1.845916315,1.5951098189,-59.708103282,2,0.48,0.24,10,1
106,1.8459161592,1.5951098189,-59.708103282,2,0.48,0.24,10,1
107,0.8369336399,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
108,104.393463007,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
109,1.8459162009,1.5951098189,-59.708103282,2,0.48,0.24,10,1
110,24.1103487911,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
111,0,1.5951098189,-29.9573227355,2,0.48,0.24,10,1
112,1.8459163122,1.5951098189,-59.708103282,2,0.48,0.24,10,1
113,1.1571784391,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
114,0.8369336399,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
115,271.6414846,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
116,121.2547434211,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
117,1.1571784896,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
118,1.8459161424,1.5951098189,-59.708103282,2,0.48,0.24,10,1
119,25.7647049604,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
120,1.1571784774,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
121,0.6259937818,1.5951098189,-54.3540732806,2,0.48,0.24,10,1
122,0.3426370489,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
123,6890.7100635214,1.5951098189,-59.9146454708,2,0.48,0.24,10,1
124,44.8758673697,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
1,29.2546794736,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
2,1.0467990627,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
3,1.0467991042,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
4,1.6698403552,1.7633056399,-59.708103282,2,0.48,0.24,10,10
5,0.3099540491,1.7633056399,-48.4651953223,2,0.48,0.24,10,10
6,1.6698403976,1.7633056399,-59.708103282,2,0.48,0.24,10,10
7,0.4237577338,1.7633056399,-51.610989437,2,0.48,0.24,10,10
8,1.6698403628,1.7633056399,-59.708103282,2,0.48,0.24,10,10
9,47.4448432444,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
10,1.6698404316,1.7633056399,-59.708103282,2,0.48,0.24,10,10
11,0.757101317,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
12,46.749919534,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
13,1.6698403928,1.7633056399,-59.708103282,2,0.48,0.24,10,10
14,1.0467990612,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
15,0.5662823404,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
16,1.6698403591,1.7633056399,-59.708103282,2,0.48,0.24,10,10
17,556.7410348846,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
18,1.0467991475,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
19,17.4146064964,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
20,0.2152238935,1.7633056399,-44.8992826961,2,0.48,0.24,10,10
21,1.6698403849,1.7633056399,-59.708103282,2,0.48,0.24,10,10
22,115.1761205672,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
23,1.046799015,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
24,0.2152148935,1.7633056399,-44.8992826936,2,0.48,0.24,10,10
25,1.0467990623,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
26,1.0467990605,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
27,0.7571013531,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
28,0,1.7633056399,-29.9573227355,2,0.48,0.24,10,10
29,0.2152148896,1.7633056399,-44.8992826936,2,0.48,0.24,10,10
30,1.6698403875,1.7633056399,-59.708103282,2,0.48,0.24,10,10
31,1.6698403778,1.7633056399,-59.708103282,2,0.48,0.24,10,10
32,1.6698408511,1.7633056399,-59.708103282,2,0.48,0.24,10,10
33,0.5662823216,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
34,1.0467990621,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
35,1.6698404131,1.7633056399,-59.708103282,2,0.48,0.24,10,10
36,20.064460794,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
37,1.0467991042,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
38,60.1213128523,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
39,1.6698403886,1.7633056399,-59.708103282,2,0.48,0.24,10,10
40,1.6698403427,1.7633056399,-59.708103282,2,0.48,0.24,10,10
41,1.6698405121,1.7633056399,-59.708103282,2,0.48,0.24,10,10
42,50.9906460165,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
43,1.6698405404,1.7633056399,-59.708103282,2,0.48,0.24,10,10
44,1371.8803695443,1.7633056399,-59.914645471,2,0.48,0.24,10,10
45,17.7298412897,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
46,0.7571013469,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
47,1.6698402724,1.7633056399,-59.708103282,2,0.48,0.24,10,10
48,25.1192044952,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
49,1.0467990604,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
50,1.6698403328,1.7633056399,-59.708103282,2,0.48,0.24,10,10
51,0,1.7633056399,-29.9573227355,2,0.48,0.24,10,10
52,0.5662823142,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
53,1.6698404517,1.7633056399,-59.708103282,2,0.48,0.24,10,10
54,613.4641692322,1.7633056399,-59.914645471,2,0.48,0.24,10,10
55,0.5662823332,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
56,35.5935296715,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
57,0.30995402,1.7633056399,-48.4651953223,2,0.48,0.24,10,10
58,1.0467990617,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
59,18.2317712012,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
60,1.0467990752,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
61,0.1340600112,1.7633056399,-40.8502249293,2,0.48,0.24,10,10
62,125.6098910333,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
63,0.7571012786,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
64,1.0467990322,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
65,1.6698404202,1.7633056399,-59.708103282,2,0.48,0.24,10,10
66,0.757101357,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
67,25.8248422976,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
68,0.5662823404,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
69,1.6698405969,1.7633056399,-59.708103282,2,0.48,0.24,10,10
70,1.6698403319,1.7633056399,-59.708103282,2,0.48,0.24,10,10
71,119.8848844724,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
72,1.0467990437,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
73,0.1340600137,1.7633056399,-40.8502249293,2,0.48,0.24,10,10
74,1.0467990624,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
75,99.8429107881,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
76,49.3483948721,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
77,0.0630839575,1.7633056399,-36.1525914532,2,0.48,0.24,10,10
78,1.6698403081,1.7633056399,-59.708103282,2,0.48,0.24,10,10
79,1.6698406731,1.7633056399,-59.708103282,2,0.48,0.24,10,10
80,1.6698403756,1.7633056399,-59.708103282,2,0.48,0.24,10,10
81,1.6698403932,1.7633056399,-59.708103282,2,0.48,0.24,10,10
82,38.6513204558,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
83,1.6698404949,1.7633056399,-59.708103282,2,0.48,0.24,10,10
84,1.0467990312,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
85,1.6698402529,1.7633056399,-59.708103282,2,0.48,0.24,10,10
86,1.6698405312,1.7633056399,-59.708103282,2,0.48,0.24,10,10
87,1.0467990138,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
88,0.5662823404,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
89,0.5662823404,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
90,562.7405504693,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
91,0.063083957,1.7633056399,-36.1525914532,2,0.48,0.24,10,10
92,1.0467991579,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
93,1.0467989675,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
94,1.0467991042,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
95,0.5662823404,1.7633056399,-54.3540732806,2,0.48,0.24,10,10
96,1.0467990766,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
97,304.9887427459,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
98,1.0467991546,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
99,70.2788926395,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
100,0.3099540398,1.7633056399,-48.4651953223,2,0.48,0.24,10,10
101,0.4237577463,1.7633056399,-51.610989437,2,0.48,0.24,10,10
102,1.6698405582,1.7633056399,-59.708103282,2,0.48,0.24,10,10
103,27.2010622141,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
104,0.4237577273,1.7633056399,-51.610989437,2,0.48,0.24,10,10
105,1.6698403959,1.7633056399,-59.708103282,2,0.48,0.24,10,10
106,97.6048192388,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
107,0.7571013462,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
108,1.0467990056,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
109,1.6698402529,1.7633056399,-59.708103282,2,0.48,0.24,10,10
110,2909.2031290355,1.7633056399,-59.914645471,2,0.48,0.24,10,10
111,0,1.7633056399,-29.9573227355,2,0.48,0.24,10,10
112,0.7571013652,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
113,27.4645991896,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
114,1.6698403918,1.7633056399,-59.708103282,2,0.48,0.24,10,10
115,1.6698404093,1.7633056399,-59.708103282,2,0.48,0.24,10,10
116,1576.1294161212,1.7633056399,-59.914645471,2,0.48,0.24,10,10
117,1.6698403898,1.7633056399,-59.708103282,2,0.48,0.24,10,10
118,1.0467990718,1.7633056399,-58.5168588043,2,0.48,0.24,10,10
119,1.6698403715,1.7633056399,-59.708103282,2,0.48,0.24,10,10
120,1.6698404002,1.7633056399,-59.708103282,2,0.48,0.24,10,10
121,0.7571013439,1.7633056399,-56.6770386103,2,0.48,0.24,10,10
122,0.3099540395,1.7633056399,-48.4651953223,2,0.48,0.24,10,10
123,256.4056083568,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
124,34.1968407006,1.7633056399,-59.9146454711,2,0.48,0.24,10,10
1,1.8073406773,1.6291554882,-59.708103282,2,0.48,0.24,10,11
2,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
3,20.3292443949,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
4,108.638310264,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
5,0.1451046892,1.6291554882,-40.8502249308,2,0.48,0.24,10,11
6,117.7082552177,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
7,0.4586513816,1.6291554882,-51.610989437,2,0.48,0.24,10,11
8,0.6129119232,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
9,51.5992033538,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
10,1.8073406673,1.6291554882,-59.708103282,2,0.48,0.24,10,11
11,0.4586513816,1.6291554882,-51.610989437,2,0.48,0.24,10,11
12,1.8073408311,1.6291554882,-59.708103282,2,0.48,0.24,10,11
13,0.8194436163,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
14,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
15,1.8073406661,1.6291554882,-59.708103282,2,0.48,0.24,10,11
16,0.8194436174,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
17,1.8073406175,1.6291554882,-59.708103282,2,0.48,0.24,10,11
18,1.8073406761,1.6291554882,-59.708103282,2,0.48,0.24,10,11
19,69.4150808518,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
20,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
21,1.1329960583,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
22,28.3613293494,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
23,1.8073406221,1.6291554882,-59.708103282,2,0.48,0.24,10,11
24,0.1450989668,1.6291554882,-40.8502249293,2,0.48,0.24,10,11
25,1.8073406117,1.6291554882,-59.708103282,2,0.48,0.24,10,11
26,0.6129119238,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
27,0.4586513736,1.6291554882,-51.610989437,2,0.48,0.24,10,11
28,0,1.6291554882,-29.9573227355,2,0.48,0.24,10,11
29,0,1.6291554882,-29.9573227355,2,0.48,0.24,10,11
30,1.8073406032,1.6291554882,-59.708103282,2,0.48,0.24,10,11
31,1.1329960583,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
32,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
33,0.4586513779,1.6291554882,-51.610989437,2,0.48,0.24,10,11
34,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
35,0.6129119324,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
36,57.4090280764,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
37,1.8073407838,1.6291554882,-59.708103282,2,0.48,0.24,10,11
38,39.0942648618,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
39,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
40,1.8073406071,1.6291554882,-59.708103282,2,0.48,0.24,10,11
41,1.1329959947,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
42,52.9407265682,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
43,1.8073407918,1.6291554882,-59.708103282,2,0.48,0.24,10,11
44,52.8101030008,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
45,0.8194436181,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
46,0.8194436041,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
47,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
48,1.1329960224,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
49,994.8994142409,1.6291554882,-59.914645471,2,0.48,0.24,10,11
50,0.8194436201,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
51,0,1.6291554882,-29.9573227355,2,0.48,0.24,10,11
52,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
53,1.1329960227,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
54,0.819443617,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
55,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
56,1.807340649,1.6291554882,-59.708103282,2,0.48,0.24,10,11
57,0.4586513816,1.6291554882,-51.610989437,2,0.48,0.24,10,11
58,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
59,1.8073405516,1.6291554882,-59.708103282,2,0.48,0.24,10,11
60,0.8194436178,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
61,0.1450989698,1.6291554882,-40.8502249293,2,0.48,0.24,10,11
62,1.8073405858,1.6291554882,-59.708103282,2,0.48,0.24,10,11
63,0.3354766997,1.6291554882,-48.4651953223,2,0.48,0.24,10,11
64,58.7284089911,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
65,128.300287843,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
66,0.3354767088,1.6291554882,-48.4651953223,2,0.48,0.24,10,11
67,1.8073407133,1.6291554882,-59.708103282,2,0.48,0.24,10,11
68,1.8073406679,1.6291554882,-59.708103282,2,0.48,0.24,10,11
69,1.807340624,1.6291554882,-59.708103282,2,0.48,0.24,10,11
70,1.8073406597,1.6291554882,-59.708103282,2,0.48,0.24,10,11
71,60.5696647462,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
72,1.8073406677,1.6291554882,-59.708103282,2,0.48,0.24,10,11
73,0,1.6291554882,-29.9573227355,2,0.48,0.24,10,11
74,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
75,1.8073408271,1.6291554882,-59.708103282,2,0.48,0.24,10,11
76,34.9638998405,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
77,0.3354767088,1.6291554882,-48.4651953223,2,0.48,0.24,10,11
78,1.8073406541,1.6291554882,-59.708103282,2,0.48,0.24,10,11
79,25.0629871919,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
80,0.4586513816,1.6291554882,-51.610989437,2,0.48,0.24,10,11
81,21.933323704,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
82,429.2717040871,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
83,29.1708051991,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
84,1.807340641,1.6291554882,-59.708103282,2,0.48,0.24,10,11
85,1.1329960235,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
86,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
87,3745.7870600151,1.6291554882,-59.9146454709,2,0.48,0.24,10,11
88,0.6129119324,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
89,0.8194436196,1.6291554882,-56.6770386103,2,0.48,0.24,10,11
90,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
91,0.0682785344,1.6291554882,-36.1525914532,2,0.48,0.24,10,11
92,1.1329960247,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
93,56.3196881903,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
94,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
95,1.8073405373,1.6291554882,-59.708103282,2,0.48,0.24,10,11
96,1697.4392860536,1.6291554882,-59.914645471,2,0.48,0.24,10,11
97,1.8073407385,1.6291554882,-59.708103282,2,0.48,0.24,10,11
98,1.1329960227,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
99,1.8073405991,1.6291554882,-59.708103282,2,0.48,0.24,10,11
100,0.0682719581,1.6291554882,-36.1525914486,2,0.48,0.24,10,11
101,0.6129119324,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
102,3730.1465342356,1.6291554882,-59.914645471,2,0.48,0.24,10,11
103,1.8073408155,1.6291554882,-59.708103282,2,0.48,0.24,10,11
104,0.4586513665,1.6291554882,-51.610989437,2,0.48,0.24,10,11
105,1.1329960583,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
106,1.8073408082,1.6291554882,-59.708103282,2,0.48,0.24,10,11
107,1.1329960234,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
108,29.4412623263,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
109,1.1329960184,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
110,1.1329960583,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
111,0.1451046895,1.6291554882,-40.8502249308,2,0.48,0.24,10,11
112,610.5463731024,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
113,1.8073407507,1.6291554882,-59.708103282,2,0.48,0.24,10,11
114,1.8073406739,1.6291554882,-59.708103282,2,0.48,0.24,10,11
115,1.8073406543,1.6291554882,-59.708103282,2,0.48,0.24,10,11
116,1.8073406697,1.6291554882,-59.708103282,2,0.48,0.24,10,11
117,98.0272240842,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
118,24.8659919764,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
119,1.1329960582,1.6291554882,-58.5168588043,2,0.48,0.24,10,11
120,98.8515200802,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
121,0.61291194,1.6291554882,-54.3540732806,2,0.48,0.24,10,11
122,0.0682719585,1.6291554882,-36.1525914486,2,0.48,0.24,10,11
123,1.8073404943,1.6291554882,-59.708103282,2,0.48,0.24,10,11
124,44.5994674365,1.6291554882,-59.9146454711,2,0.48,0.24,10,11
