site,rate,t,lnL,num_taxa,time,model
8,0.802519808,0.4916080121,-452648.544362131,2,0.04,JC_equalf
9,1.4004742689,0.4916080121,-507946.87250486,2,0.04,JC_equalf
10,1.3533692616,0.4916080121,-504508.046093271,2,0.04,JC_equalf
1,1.5565490852,0.4903352423,-518204.943391323,2,0.04,JC_equalf
2,0.6606469344,0.4903352423,-434577.443998222,2,0.04,JC_equalf
3,1.4336821032,0.4903352423,-510035.113665621,2,0.04,JC_equalf
4,1.3777841873,0.4903352423,-506046.033395719,2,0.04,JC_equalf
5,0.1657612654,0.4903352423,-347836.089184213,2,0.04,JC_equalf
6,1.4026570495,0.4903352423,-507843.032806607,2,0.04,JC_equalf
7,0.433462644,0.4903352423,-400558.807530273,2,0.04,JC_equalf
8,0.7987189075,0.4903352423,-451954.740211538,2,0.04,JC_equalf
9,1.4065040382,0.4903352423,-508117.801498073,2,0.04,JC_equalf
10,1.3338790598,0.4903352423,-502785.386207669,2,0.04,JC_equalf
1,1.5612961584,0.4910900759,-518656.417517634,2,0.04,JC_equalf
2,0.6569661085,0.4910900759,-434219.435906081,2,0.04,JC_equalf
3,1.4173707733,0.4910900759,-509043.507082857,2,0.04,JC_equalf
4,1.3665041552,0.4910900759,-505374.005008248,2,0.04,JC_equalf
5,0.1654133852,0.4910900759,-347814.212356898,2,0.04,JC_equalf
6,1.4202533727,0.4910900759,-509247.029392585,2,0.04,JC_equalf
7,0.4362988971,0.4910900759,-401145.354766494,2,0.04,JC_equalf
8,0.8008236212,0.4910900759,-452348.717714257,2,0.04,JC_equalf
9,1.4050686094,0.4910900759,-508169.665765265,2,0.04,JC_equalf
10,1.3404218356,0.4910900759,-503433.610342334,2,0.04,JC_equalf
1,1.5591027452,0.4917955607,-518659.327133095,2,0.04,JC_equalf
2,0.6518314349,0.4917955607,-433653.726364902,2,0.04,JC_equalf
3,1.4267032822,0.4917955607,-509844.403461057,2,0.04,JC_equalf
4,1.3779037088,0.4917955607,-506353.664375051,2,0.04,JC_equalf
5,0.1691265442,0.4917955607,-348741.936084848,2,0.04,JC_equalf
6,1.4278260977,0.4917955607,-509923.128532748,2,0.04,JC_equalf
7,0.4309845333,0.4917955607,-400358.580956646,2,0.04,JC_equalf
8,0.7958407148,0.4917955607,-451894.660139412,2,0.04,JC_equalf
9,1.3975980474,0.4917955607,-507778.873352216,2,0.04,JC_equalf
10,1.3385817811,0.4917955607,-503439.83480543,2,0.04,JC_equalf
1,1.5573680064,0.4915580591,-518502.150641575,2,0.04,JC_equalf
2,0.6572574431,0.4915580591,-434342.797057287,2,0.04,JC_equalf
3,1.4348786723,0.4915580591,-510367.718515081,2,0.04,JC_equalf
4,1.3670896597,0.4915580591,-505512.882919074,2,0.04,JC_equalf
5,0.1632130497,0.4915580591,-347332.33023172,2,0.04,JC_equalf
6,1.4292075331,0.4915580591,-509971.561267514,2,0.04,JC_equalf
7,0.4319342289,0.4915580591,-400483.182387682,2,0.04,JC_equalf
8,0.8002834773,0.4915580591,-452374.964508032,2,0.04,JC_equalf
9,1.3840588167,0.4915580591,-506752.984138515,2,0.04,JC_equalf
10,1.3501774048,0.4915580591,-504260.049959765,2,0.04,JC_equalf
1,1.5562842207,0.4918713131,-518496.327049414,2,0.04,JC_equalf
2,0.6494028953,0.4918713131,-433338.54777424,2,0.04,JC_equalf
3,1.4415177873,0.4918713131,-510892.849157227,2,0.04,JC_equalf
4,1.3519374073,0.4918713131,-504455.368464154,2,0.04,JC_equalf
5,0.1622049649,0.4918713131,-347118.404721581,2,0.04,JC_equalf
6,1.4309343253,0.4918713131,-510156.116972018,2,0.04,JC_equalf
7,0.4296225354,0.4918713131,-400140.401399219,2,0.04,JC_equalf
8,0.8056177615,0.4918713131,-453064.058080113,2,0.04,JC_equalf
9,1.4075357036,0.4918713131,-508504.977914202,2,0.04,JC_equalf
10,1.3452487728,0.4918713131,-503955.903651703,2,0.04,JC_equalf
1,1.5525872616,0.4907289204,-518032.839373113,2,0.04,JC_equalf
2,0.6529822394,0.4907289204,-433617.836304857,2,0.04,JC_equalf
3,1.4174244169,0.4907289204,-508973.599723887,2,0.04,JC_equalf
4,1.3633599299,0.4907289204,-505068.187016758,2,0.04,JC_equalf
5,0.1651395724,0.4907289204,-347721.209816336,2,0.04,JC_equalf
6,1.4352633063,0.4907289204,-510225.664846722,2,0.04,JC_equalf
7,0.4347074078,0.4907289204,-400825.564664176,2,0.04,JC_equalf
8,0.8084497441,0.4907289204,-453176.260301552,2,0.04,JC_equalf
9,1.3955666075,0.4907289204,-507414.968855064,2,0.04,JC_equalf
10,1.3442689674,0.4907289204,-503648.261213927,2,0.04,JC_equalf
1,1.5682097521,0.490907777,-519054.662070453,2,0.04,JC_equalf
2,0.6502643114,0.490907777,-433282.659502706,2,0.04,JC_equalf
3,1.4201347755,0.490907777,-509201.480330106,2,0.04,JC_equalf
4,1.3665086106,0.490907777,-505336.957149423,2,0.04,JC_equalf
5,0.1638707029,0.490907777,-347436.469106166,2,0.04,JC_equalf
6,1.4328330278,0.490907777,-510092.598229146,2,0.04,JC_equalf
7,0.4336998461,0.490907777,-400683.324260104,2,0.04,JC_equalf
8,0.799882147,0.490907777,-452202.443551641,2,0.04,JC_equalf
9,1.3886461447,0.490907777,-506952.389520415,2,0.04,JC_equalf
10,1.3526737514,0.490907777,-504312.770688422,2,0.04,JC_equalf
1,1.5588202123,0.4913033971,-518542.911305501,2,0.04,JC_equalf
2,0.6441761294,0.4913033971,-432527.168364258,2,0.04,JC_equalf
3,1.4278732451,0.4913033971,-509826.232290092,2,0.04,JC_equalf
4,1.3728386078,0.4913033971,-505882.82607564,2,0.04,JC_equalf
5,0.1647142579,0.4913033971,-347666.482731866,2,0.04,JC_equalf
6,1.4294294202,0.4913033971,-509935.23767808,2,0.04,JC_equalf
7,0.4318403038,0.4913033971,-400429.788233838,2,0.04,JC_equalf
8,0.797905864,0.4913033971,-452044.837793884,2,0.04,JC_equalf
9,1.3978908118,0.4913033971,-507699.413321542,2,0.04,JC_equalf
10,1.3547920412,0.4913033971,-504551.418938661,2,0.04,JC_equalf
1,1.5789175673,0.4914341387,-519828.64459576,2,0.04,JC_equalf
2,0.6560920908,0.4914341387,-434163.708128313,2,0.04,JC_equalf
3,1.4195601511,0.4914341387,-509268.282535225,2,0.04,JC_equalf
4,1.369742503,0.4914341387,-505682.512042554,2,0.04,JC_equalf
5,0.1617924904,0.4914341387,-346986.646395317,2,0.04,JC_equalf
6,1.4288329779,0.4914341387,-509920.101146243,2,0.04,JC_equalf
7,0.4302164172,0.4914341387,-400176.033607535,2,0.04,JC_equalf
8,0.7942414041,0.4914341387,-451635.427119235,2,0.04,JC_equalf
9,1.4045971602,0.4914341387,-508206.268856608,2,0.04,JC_equalf
10,1.3378705742,0.4914341387,-503312.201104882,2,0.04,JC_equalf
1,1.5434045477,0.4914169202,-517585.886910882,2,0.04,JC_equalf
2,0.6544303288,0.4914169202,-433936.711729296,2,0.04,JC_equalf
3,1.434380307,0.4914169202,-510304.258663683,2,0.04,JC_equalf
4,1.3737835819,0.4914169202,-505975.221440448,2,0.04,JC_equalf
5,0.1643975243,0.4914169202,-347600.790929562,2,0.04,JC_equalf
6,1.4243058866,0.4914169202,-509598.970932729,2,0.04,JC_equalf
7,0.4282742045,0.4914169202,-399846.270780864,2,0.04,JC_equalf
8,0.8078276233,0.4914169202,-453236.084314366,2,0.04,JC_equalf
9,1.4061850355,0.4914169202,-508316.043474827,2,0.04,JC_equalf
10,1.3373387734,0.4914169202,-503268.603355395,2,0.04,JC_equalf
1,1.5374614824,0.4917835141,-517278.612969966,2,0.04,JC_equalf
2,0.6537358365,0.4917835141,-433908.823377295,2,0.04,JC_equalf
3,1.4343511317,0.4917835141,-510376.782765986,2,0.04,JC_equalf
4,1.3707423538,0.4917835141,-505827.371496905,2,0.04,JC_equalf
5,0.1649712475,0.4917835141,-347764.980969236,2,0.04,JC_equalf
6,1.4194547038,0.4917835141,-509332.030178567,2,0.04,JC_equalf
7,0.4307836283,0.4917835141,-400322.970855274,2,0.04,JC_equalf
8,0.8089133979,0.4917835141,-453434.166083228,2,0.04,JC_equalf
9,1.399292618,0.4917835141,-507898.01254184,2,0.04,JC_equalf
10,1.3522620121,0.4917835141,-504461.566435864,2,0.04,JC_equalf
1,1.5702773305,0.4908406983,-519170.796198389,2,0.04,JC_equalf
2,0.6520359721,0.4908406983,-433510.140890006,2,0.04,JC_equalf
3,1.4239062329,0.4908406983,-509453.405361156,2,0.04,JC_equalf
4,1.3633006241,0.4908406983,-505086.732659424,2,0.04,JC_equalf
5,0.1641720568,0.4908406983,-347502.213681198,2,0.04,JC_equalf
6,1.4300844211,0.4908406983,-509886.797250126,2,0.04,JC_equalf
7,0.4368394,0.4908406983,-401198.619409817,2,0.04,JC_equalf
8,0.8016754481,0.4908406983,-452401.209006808,2,0.04,JC_equalf
9,1.3969084741,0.4908406983,-507534.294275919,2,0.04,JC_equalf
10,1.3345688649,0.4908406983,-502941.368498785,2,0.04,JC_equalf
1,1.5508930513,0.4926187016,-518304.058725444,2,0.04,JC_equalf
2,0.6571415316,0.4926187016,-434517.80503714,2,0.04,JC_equalf
3,1.4263461706,0.4926187016,-509986.694393561,2,0.04,JC_equalf
4,1.3692991738,0.4926187016,-505892.067239574,2,0.04,JC_equalf
5,0.1649696616,0.4926187016,-347830.620195895,2,0.04,JC_equalf
6,1.4204439389,0.4926187016,-509571.684421652,2,0.04,JC_equalf
7,0.4340715837,0.4926187016,-400998.827367013,2,0.04,JC_equalf
8,0.8090693078,0.4926187016,-453613.447924962,2,0.04,JC_equalf
9,1.3941583832,0.4926187016,-507699.413321541,2,0.04,JC_equalf
10,1.34428488,0.4926187016,-504036.633207695,2,0.04,JC_equalf
1,1.5646716088,0.492046916,-519060.470297484,2,0.04,JC_equalf
2,0.6614566714,0.492046916,-434994.591835131,2,0.04,JC_equalf
3,1.416245685,0.492046916,-509158.959734428,2,0.04,JC_equalf
4,1.3823878172,0.492046916,-506731.499594059,2,0.04,JC_equalf
5,0.1705750262,0.492046916,-349100.995008983,2,0.04,JC_equalf
6,1.421276478,0.492046916,-509514.068904456,2,0.04,JC_equalf
7,0.432087156,0.492046916,-400581.046522711,2,0.04,JC_equalf
8,0.7922410507,0.492046916,-451515.127169498,2,0.04,JC_equalf
9,1.3886906804,0.492046916,-507188.388710526,2,0.04,JC_equalf
10,1.3414960636,0.492046916,-503710.443012904,2,0.04,JC_equalf
1,1.5573210066,0.4927220647,-518732.054515587,2,0.04,JC_equalf
2,0.6606391097,0.4927220647,-435006.501998777,2,0.04,JC_equalf
3,1.4167514698,0.4927220647,-509332.030178564,2,0.04,JC_equalf
4,1.3627727358,0.4927220647,-505432.652278112,2,0.04,JC_equalf
5,0.1680192549,0.4927220647,-348556.724037315,2,0.04,JC_equalf
6,1.4361656683,0.4927220647,-510693.804423782,2,0.04,JC_equalf
7,0.4277989198,0.4927220647,-399957.718525601,2,0.04,JC_equalf
8,0.80067373,0.4927220647,-452644.798377565,2,0.04,JC_equalf
9,1.4041664295,0.4927220647,-508437.954308035,2,0.04,JC_equalf
10,1.3399471792,0.4927220647,-503732.202836941,2,0.04,JC_equalf
1,1.5625097861,0.4912018825,-518755.32199631,2,0.04,JC_equalf
2,0.6541849664,0.4912018825,-433864.993693643,2,0.04,JC_equalf
3,1.4163175049,0.4912018825,-508991.838470842,2,0.04,JC_equalf
4,1.3653966787,0.4912018825,-505315.34322481,2,0.04,JC_equalf
5,0.1622170347,0.4912018825,-347069.005356815,2,0.04,JC_equalf
6,1.4385241632,0.4912018825,-510548.935033854,2,0.04,JC_equalf
7,0.4326979629,0.4912018825,-400558.807530274,2,0.04,JC_equalf
8,0.8026428985,0.4912018825,-452584.856262325,2,0.04,JC_equalf
9,1.3972004141,0.4912018825,-507629.099144934,2,0.04,JC_equalf
10,1.3445915739,0.4912018825,-503769.500801738,2,0.04,JC_equalf
1,1.5598471284,0.4923603289,-518819.294363936,2,0.04,JC_equalf
2,0.6494347241,0.4923603289,-433430.342093346,2,0.04,JC_equalf
3,1.4229114925,0.4923603289,-509692.932957345,2,0.04,JC_equalf
4,1.3646944702,0.4923603289,-505500.541512333,2,0.04,JC_equalf
5,0.1665872537,0.4923603289,-348191.261840246,2,0.04,JC_equalf
6,1.4341863151,0.4923603289,-510482.505720956,2,0.04,JC_equalf
7,0.4343523221,0.4923603289,-401007.709888831,2,0.04,JC_equalf
8,0.8028167574,0.4923603289,-452828.296628319,2,0.04,JC_equalf
9,1.4025948303,0.4923603289,-508252.014598213,2,0.04,JC_equalf
10,1.3379548451,0.4923603289,-503508.293265262,2,0.04,JC_equalf
1,1.5541571337,0.4926754972,-518522.531953804,2,0.04,JC_equalf
2,0.6536428365,0.4926754972,-434056.204487326,2,0.04,JC_equalf
3,1.4289012424,0.4926754972,-510177.285960029,2,0.04,JC_equalf
4,1.3664587023,0.4926754972,-505694.843963143,2,0.04,JC_equalf
5,0.1667822249,0.4926754972,-348262.222963087,2,0.04,JC_equalf
6,1.4332255456,0.4926754972,-510479.485746081,2,0.04,JC_equalf
7,0.4287365052,0.4926754972,-400109.219674805,2,0.04,JC_equalf
8,0.8031597896,0.4926754972,-452929.359952082,2,0.04,JC_equalf
9,1.4061778043,0.4926754972,-508571.982110319,2,0.04,JC_equalf
10,1.3355719799,0.4926754972,-503393.147404631,2,0.04,JC_equalf
1,1.5651448727,0.4910127536,-518883.247364919,2,0.04,JC_equalf
2,0.6532546996,0.4910127536,-433705.560140731,2,0.04,JC_equalf
3,1.4317039263,0.4910127536,-510035.113665621,2,0.04,JC_equalf
4,1.3702876221,0.4910127536,-505636.261612858,2,0.04,JC_equalf
5,0.1653232114,0.4910127536,-347786.863043988,2,0.04,JC_equalf
6,1.4180669332,0.4910127536,-509076.933540362,2,0.04,JC_equalf
7,0.4231040662,0.4910127536,-398912.908660778,2,0.04,JC_equalf
8,0.8098319836,0.4910127536,-453393.065541921,2,0.04,JC_equalf
9,1.3999967301,0.4910127536,-507791.095564855,2,0.04,JC_equalf
10,1.3406743571,0.4910127536,-503436.722594024,2,0.04,JC_equalf
1,1.5449264382,0.4922724905,-517854.754895198,2,0.04,JC_equalf
2,0.6505518479,0.4922724905,-433565.987682846,2,0.04,JC_equalf
3,1.4241569192,0.4922724905,-509762.621831499,2,0.04,JC_equalf
4,1.3837397796,0.4922724905,-506875.715218795,2,0.04,JC_equalf
5,0.163370103,0.4922724905,-347425.50962018,2,0.04,JC_equalf
6,1.4364795479,0.4922724905,-510624.399356715,2,0.04,JC_equalf
7,0.4340061603,0.4922724905,-400936.642218404,2,0.04,JC_equalf
8,0.7997557511,0.4922724905,-452449.94270245,2,0.04,JC_equalf
9,1.3929728539,0.4922724905,-507543.470626122,2,0.04,JC_equalf
10,1.3472213178,0.4922724905,-504185.600893919,2,0.04,JC_equalf
1,1.7418357554,0.8739322357,-575276.207354832,2,0.08,JC_equalf
2,0.6453427605,0.8739322357,-487818.91872727,2,0.08,JC_equalf
3,1.5490631369,0.8739322357,-567740.393152026,2,0.08,JC_equalf
4,1.4926020003,0.8739322357,-565128.73652051,2,0.08,JC_equalf
5,0.1423386341,0.8739322357,-367176.891228682,2,0.08,JC_equalf
6,1.5535024069,0.8739322357,-567937.291583484,2,0.08,JC_equalf
7,0.4368935138,0.8739322357,-449564.836836452,2,0.08,JC_equalf
8,0.8185167979,0.8739322357,-511774.381030877,2,0.08,JC_equalf
9,1.5205526598,0.8739322357,-566446.862253831,2,0.08,JC_equalf
10,1.458231259,0.8739322357,-563437.116987457,2,0.08,JC_equalf
1,1.7327400386,0.8751336399,-575045.916425931,2,0.08,JC_equalf
2,0.6506469029,0.8751336399,-488783.802638331,2,0.08,JC_equalf
3,1.5549754615,0.8751336399,-568096.564199957,2,0.08,JC_equalf
4,1.4834376583,0.8751336399,-564784.582688564,2,0.08,JC_equalf
5,0.141353447,0.8751336399,-366885.340827776,2,0.08,JC_equalf
6,1.5549754235,0.8751336399,-568096.564199957,2,0.08,JC_equalf
7,0.4356244448,0.8751336399,-449420.989392524,2,0.08,JC_equalf
8,0.8152306815,0.8751336399,-511509.981768136,2,0.08,JC_equalf
9,1.5401569113,0.8751336399,-567436.946296507,2,0.08,JC_equalf
10,1.4531790222,0.8751336399,-563282.897358964,2,0.08,JC_equalf
1,1.7489384383,0.8742854253,-575541.392861833,2,0.08,JC_equalf
2,0.6461830177,0.8742854253,-487991.005201761,2,0.08,JC_equalf
3,1.5549825241,0.8742854253,-568030.407671285,2,0.08,JC_equalf
4,1.47622222,0.8742854253,-564361.825126684,2,0.08,JC_equalf
5,0.1439457704,0.8742854253,-367789.042622155,2,0.08,JC_equalf
6,1.5418366429,0.8742854253,-567445.273529425,2,0.08,JC_equalf
7,0.4413475585,0.8742854253,-450554.763637077,2,0.08,JC_equalf
8,0.8183337564,0.8742854253,-511792.39696337,2,0.08,JC_equalf
9,1.5264593642,0.8742854253,-566747.314669481,2,0.08,JC_equalf
10,1.4520149873,0.8742854253,-563152.389179712,2,0.08,JC_equalf
1,1.7269862131,0.8738162143,-574756.011768809,2,0.08,JC_equalf
2,0.650478818,0.8738162143,-488605.63059985,2,0.08,JC_equalf
3,1.5439637885,0.8738162143,-567503.542690036,2,0.08,JC_equalf
4,1.4892539253,0.8738162143,-564957.880267097,2,0.08,JC_equalf
5,0.1440094098,0.8738162143,-367784.031074235,2,0.08,JC_equalf
6,1.558541824,0.8738162143,-568150.280028077,2,0.08,JC_equalf
7,0.4400086657,0.8738162143,-450218.855348529,2,0.08,JC_equalf
8,0.8122631007,0.8738162143,-510995.319268712,2,0.08,JC_equalf
9,1.5294774117,0.8738162143,-566847.947721032,2,0.08,JC_equalf
10,1.4522374512,0.8738162143,-563124.090483386,2,0.08,JC_equalf
1,1.7392089608,0.8732866749,-575142.280170652,2,0.08,JC_equalf
2,0.6485562481,0.8732866749,-488245.620263342,2,0.08,JC_equalf
3,1.5542758888,0.8732866749,-567920.727404204,2,0.08,JC_equalf
4,1.4785682494,0.8732866749,-564394.078532122,2,0.08,JC_equalf
5,0.1421162941,0.8732866749,-367056.291079758,2,0.08,JC_equalf
6,1.5500216002,0.8732866749,-567732.09317225,2,0.08,JC_equalf
7,0.4391782816,0.8732866749,-449984.630310057,2,0.08,JC_equalf
8,0.8161679713,0.8732866749,-511413.759709937,2,0.08,JC_equalf
9,1.5299003721,0.8732866749,-566824.895673731,2,0.08,JC_equalf
10,1.4547484199,0.8732866749,-563206.78780665,2,0.08,JC_equalf
1,1.7215210248,0.8759547143,-574712.32603432,2,0.08,JC_equalf
2,0.6489544772,0.8759547143,-488615.532204066,2,0.08,JC_equalf
3,1.5434409961,0.8759547143,-567649.051104158,2,0.08,JC_equalf
4,1.4833685664,0.8759547143,-564848.802805111,2,0.08,JC_equalf
5,0.1464140978,0.8759547143,-368794.338405478,2,0.08,JC_equalf
6,1.5515514393,0.8759547143,-568009.723636234,2,0.08,JC_equalf
7,0.4431077704,0.8759547143,-451108.759123327,2,0.08,JC_equalf
8,0.8148589402,0.8759547143,-511558.077422436,2,0.08,JC_equalf
9,1.5328538955,0.8759547143,-567172.158408543,2,0.08,JC_equalf
10,1.4545203596,0.8759547143,-563419.751789121,2,0.08,JC_equalf
1,1.7352052571,0.8735035395,-575019.439889913,2,0.08,JC_equalf
2,0.6504351734,0.8735035395,-488562.719354823,2,0.08,JC_equalf
3,1.5453062497,0.8735035395,-567538.90205804,2,0.08,JC_equalf
4,1.4736517859,0.8735035395,-564170.239163839,2,0.08,JC_equalf
5,0.144717144,0.8735035395,-368024.472391956,2,0.08,JC_equalf
6,1.5567501001,0.8735035395,-568046.951430216,2,0.08,JC_equalf
7,0.4396175635,0.8735035395,-450101.765584185,2,0.08,JC_equalf
8,0.816088277,0.8735035395,-511428.79710918,2,0.08,JC_equalf
9,1.5266819676,0.8735035395,-566694.858172167,2,0.08,JC_equalf
10,1.4554179003,0.8735035395,-563258.983315976,2,0.08,JC_equalf
1,1.7371719951,0.8751689759,-575200.787833135,2,0.08,JC_equalf
2,0.6430363598,0.8751689759,-487600.340238721,2,0.08,JC_equalf
3,1.5492517188,0.8751689759,-567846.150483847,2,0.08,JC_equalf
4,1.4870403314,0.8751689759,-564962.15533118,2,0.08,JC_equalf
5,0.1431322215,0.8751689759,-367543.358690353,2,0.08,JC_equalf
6,1.558906151,0.8751689759,-568272.05265387,2,0.08,JC_equalf
7,0.4448185412,0.8751689759,-451387.255703884,2,0.08,JC_equalf
8,0.8141181066,0.8751689759,-511377.665867672,2,0.08,JC_equalf
